set_id,instruction,original_w,original_h
inst-0035,"Make this about inviting coworkers to fill seats, not rewards. In each invite list row, add the access level as a short line under the name, and recolor the link copy row so it stands out.",390,560
inst-0037,Give the bottom delete row a different background fill.,390,560
inst-0039,"Make this a beginner live cooking-class feed — featured a class, tiles recipe collections, rows show time left. Add one more gray line under the meta line with instructor name and difficulty. Then make both section headings a step larger than the titles below, and add more space above each.",390,844
inst-0040,"Make praise versus problem reports obvious at a glance, and also show the written review count in the score block.",390,844
inst-0041,"Split the agenda into two groups by action required, put action-required first, and add small labels above each. Add an event filter to the calendar toolbar. Make event categories distinguishable at a glance.",390,844
inst-0044,"Make it my tutor's profile, not a followed guide; swap guides/followers for languages taught and years teaching. And add a line under the role line with the tutor's rating and review count.",390,560
inst-0045,Rework the structure of the sign-in form.,390,844
inst-0046,Make the problem row catch the eye first when scanning.,390,844
inst-0047,Divide the order list into “Completed” and “Refunded”; keep date years and remove duplicate row statuses. Add sorting to the category filter row.,390,844
inst-0048,Top dark block reads heaviest — recolor it. Then restructure the three agenda lines.,390,844
inst-0049,Change the Check Answer button’s feel.,390,844
inst-0052,"Turn the sleep schedule editor into a rotating-shift planner, with a shift-cycle selector replacing weekly repeat. Adapt the rotating-shift planner for desktop. Give the scheduled sleep summary more emphasis.",390,560
inst-0054,Make reviewing the terms conclude with consent. Add download functionality to the document title and version.,390,844
inst-0056,Structure the collection list differently.,390,844
inst-0057,Comments just stack in a row — group them into conversations.,390,560
inst-0058,Make the weekly spending story a shared household dining recap showing each member’s contribution to the increase. Make each member’s share of the dining increase clear.,390,844
inst-0060,Allow comments to be sorted by recency.,390,844
inst-0064,"Split the step line under the progress bar: step count on top, syncing institution · time left below. Then add a button in that empty gap to skip the wait.",390,844
inst-0065,Change the wallet screen to a parent-managed child wallet. Change the order in Recent activity.,390,560
inst-0067,Enable personalized pet-supply shopping setup. Regroup the preferences below the pet profile.,390,844
inst-0068,Make choosing a list flow directly into saving.,390,560
inst-0069,Let users edit the bedtime and wake times on that line.,390,560
inst-0071,"Organize the activity list differently. Make each event’s day context clear, and make the person tiles feel more distinct.",390,844
inst-0074,Change how the progress card is arranged. Change when the saved amount stands out. Reorder the target date information.,390,560
inst-0075,"Show my own rank inside the same ranking. And let users rank by sales or by order count, make the top read as separate from the list.",390,560
inst-0076,"Rework the date and time selection area. Add the lesson format to the tutor card, then make the final booking summary a white, thin dark-gray-outlined card, keeping the plum confirmation button.",390,560
inst-0079,Make the episode artwork moderately smaller and keep it centered above the episode details.,390,844
inst-0080,Rework the bottom two buttons' setup.,390,560
inst-0083,Make the Checkout button feel different.,390,844
inst-0084,"Make remaining stock catch the eye first, other three quiet.",390,844
inst-0085,Rework how “Suggested stops” is arranged.,390,844
inst-0086,All three read as one run — separate the picked dish.,390,560
inst-0087,Turn password recovery into a workspace-member flow with a workspace ID field before account email. Make the main heading slightly smaller so the recovery form carries more visual weight. Add a compact secondary recovery code button below the primary button and above the expiration note.,390,844
inst-0089,Rework the article for endurance athletes’ recovery lunches.,390,844
inst-0091,Turn the follower panel into a workspace access request panel. And change each row’s requester detail order. Separate pending and approved requests in the request list.,390,560
inst-0092,Make this a patient booking a blood draw at a lab. Split the time list into morning and afternoon. Then show each day's openings and why some are dimmed.,390,560
inst-0093,"Add one truncated line of the delivery address directly below the estimated-delivery row. In the order summary, make the product image smaller, left of a wider arrival information area. Change the status badge to a dark green background with white text.",390,560
inst-0095,"Adapt the screen for a computer environment. Make FAQs the wide left column; put contact support above help guides in the narrow right column. Give it a cleaner, recognizable health-service feel.",390,844
inst-0096,Adapt the screen for desktop review. Change how the screen is laid out.,390,560
inst-0097,"Change this to share a lab-result summary with the care team. Then split recipients into care team and patient-consent-needed groups, replacing the label above with the two headings.",390,560
inst-0098,Turn the screen into a desktop canvas with primary navigation on the left and a wide browsing area. Split the curated list into side-by-side labeled 'Collections' and 'Guides' groups in the main area. Then add the last-updated date to the metadata line beneath the featured guide title.,390,844
inst-0099,"Rebuild for desktop as two columns: confirmation and event card left, order summary right, tabs to top nav. Make the two Next steps rows a numbered sequence by timing, with a line down the left. And make the pink fills white with thin gray outlines, and the checkmark, total, step numbers navy.",390,844
inst-0100,Adapt the lesson suggestions screen for desktop. Arrange the featured lesson action area differently.,390,560
inst-0103,Change the amount/payment detail line-up.,390,560
inst-0104,"Switch to tablet: big viewfinder left, mode chips/capture row/history card right, tab bar to left rail.",390,844
inst-0105,Change the conversation to an accessible-stay search. Add a compact bookmark button to the top-right corner of each stay image.,390,844
inst-0110,"Show the host's earnings and whether they've been paid, filter row should do more. Then make the total under the title bigger, note smaller.",390,844
inst-0112,"Make this a wide desktop layout, and move the bottom tabs into a left column. Then make the filter row lighter, chosen one clearly brand-colored.",390,844
inst-0113,"Change the order of cancellation guidance. Make ""Cancel"" feel different.",390,560
inst-0115,Make the sleep window primary and supporting content lighter.,390,844
inst-0116,Change the Cancel this session button's color.,390,560
inst-0119,Change what leads in the order row. Let users open the full package tracking details.,390,844
inst-0120,Show how many files each item holds on its second line. And make the used amount bigger and the free-of-total smaller.,390,560
inst-0121,Make it viewable in a wider tablet environment. Split the main area into a narrow left storage summary and wider right saved-content list. Make the storage summary card navy with white text and a light blue storage track.,390,844
inst-0123,"Make the screen wider on tablet. Align the stay summary differently. At the bottom, place a secondary stay-details button first and the removal button second.",390,560
inst-0127,Make the selected location distinct from the other options. And make saved locations directly manageable. Make the location flow feel cleaner and higher-contrast.,390,844
inst-0129,Change what shows first in status line. Create a distinct neutral card feel while preserving red status emphasis.,390,560
inst-0130,"Rework what the card shows. And on a watch, only the essentials should read at a glance.",390,560
inst-0131,Let users choose the order of recommended groups.,390,844
inst-0132,"Move the attempts text left in the underline pink, slightly larger; push ""Forgot password"" to the right end.",390,844
inst-0133,Make the selected-location sheet feel different.,390,844
inst-0134,Rework the order and composition.,390,844
inst-0135,Give expectant parents stage-specific prenatal nutrition guidance.,390,560
inst-0136,Add a compact search icon button immediately before the top-right action in the header. Restyle the settings groups as white cards with light-gray row dividers and rounded outer corners.,390,844
inst-0137,"Make it a commuter fare wallet — pass fare balance, rides to a free ride, fare discounts. Then change the tag color under the first coupon to stand out.",390,560
inst-0139,Move the gray row with date and sleep times up.,390,560
inst-0141,"Turn the episode action menu into an audiobook menu, replacing episode details with book title and chapter progress.",390,560
inst-0142,Let viewers add each featured item right there.,390,560
inst-0143,Replace the tour’s vocabulary review with travel-phrase pronunciation coaching for adults and a speaking-and-listening visual. Change how the tip panel is presented.,390,560
inst-0144,"Should read as company accounts, showing which business each belongs to. Show the whole account order at a glance, first to last. Just — too bright; make it feel plainer, more businesslike.",390,560
inst-0146,Let the shared view open full screen during the call. Then change which round buttons read first.,390,844
inst-0147,Rework the right end of each track row. Then rework the tracks heading's reading order.,390,844
inst-0148,"Make the card stack a guided flow, with information before term and purchase amount cards. Add a compact edit button directly to the right of the purchase amount field. Keep the yield prominent and the overall tone restrained.",390,844
inst-0149,Add difficulty and points to the topic label above the question. Then add a mark-for-later option to the top title row. Make the progress bar under the title stand out — it's hard to see.,390,844
inst-0150,Change what appears first in the header.,390,560
inst-0151,Enable team members to move documents between shared project folders. Allow creating a destination when no folder fits.,390,560
inst-0154,Rework the tone of both buttons.,390,844
inst-0155,Adapt the call screen for roadside-assistance calls.,390,844
inst-0156,"Split the reasons into behavior and content groups, each with a blue uppercase caption, wider gap between groups.",390,560
inst-0157,1. Clarify what runners need before setup. 2. Let runners experience the alert before setup.,390,844
inst-0158,"Make the recipe detail allergy-aware, replacing the dish illustration with a compact dietary-risk summary. Regroup the ingredients in the list. Make the top actions work differently.",390,844
inst-0159,"The top card says too little. Change how much Save stands out, then give the selected days in Repeat their own color.",390,844
inst-0160,"Add a compact sort button at the filter tabs’ right end, opening newest-first and oldest-first options.",390,844
inst-0161,Rework what sits under Members you may know.,390,844
inst-0162,Change the screen content to a workout order planner. Make the exercise rows dark navy with light text and bright green icons and drag handles.,390,560
inst-0164,Emphasize the first popular guide card. Give the screen a distinctive travel-brand feel.,390,844
inst-0167,"Change what this notice is about. Put the two bottom buttons side by side in one row, with ""Retry"" wider on the right. And change the progress bar's color feel.",390,560
inst-0168,"Add an eye-icon visibility toggle to the right edge of the ""Password"" field.",390,844
inst-0169,"Rebuild for a smartwatch — keep only the purple delivery status steps full-width, drop the bottom tab bar.",390,844
inst-0170,Change the reply audience picker to document comment permissions. Make the permission scope clear before reviewing choices. Let workspace managers deliberately apply their selection.,390,560
inst-0171,"Make the deleted list read as two urgency levels, and let the card header filter the list by kind. Then keep the Empty trash button at the bottom outlined, but make its border and label red.",390,560
inst-0172,"Enable staff to review removed listings and removal reasons. Place the guidance notice below the queue heading, before listings, in a tighter, less prominent treatment.",390,844
inst-0173,"Time left read right after the title, host secondary. And the top bar reads separate — make it one block with the episode.",390,844
inst-0174,Make the episode screen an at-home PT session; replace summary host/release with assigned clinician and due date. Change the chapter list order.,390,844
inst-0175,1. Top title block — different structure. 2. Put each row's play order number where the initials are,390,560
inst-0176,"Turn the confirmation card into a patient appointment confirmation with a compact pre-visit checklist replacing sharing details. Turn the ""Pre-visit checklist"" into short numbered steps stacked in chronological order.",390,844
inst-0177,Combine the edge status and capture tip. Change the camera mode label into a compact corner-adjustment button at the viewfinder’s upper left.,390,844
inst-0178,Make it fit a wider desktop screen. Organize the product list by investment goal.,390,844
inst-0179,"Filter and sticker thumbnail tiles blend into the card — rework their tone. Then, show what each end of the strength slider means.",390,560
inst-0180,"Enable clinicians to choose an appropriate patient handoff recipient. Center a two-column recipient panel on desktop, with search and guidance beside the list and Share below.",390,560
inst-0182,Change the screen to a desktop detail page. Make the episode section progress in season order.,390,844
inst-0183,"Group the Episodes rows by watched and unwatched, and add a small outlined discussion button at the right end of the circle activity line, same baseline as the text.",390,844
inst-0184,Arrange the trip context row differently. Make the live recording state feel immediate and distinct.,390,844
inst-0185,"Split Members into joined people, then a 'Pending invites' group; drop the row tag. And each member should show when they were last active.",390,844
inst-0186,"Adapt the screen for desktop use. Support renters searching for a long-term home. Arrange the rental filter sections in side-by-side budget, home requirements, and availability groups.",390,844
inst-0187,"Swap the fund for a rental unit's monthly rent, drop the order note. Rework the list section structure, then add one small line under the rent with bedroom and bathroom count, floor area, neighbourhood.",390,560
inst-0188,"Make confirmation feel focused in the desktop view. Move the workout summary directly below the title, emphasize it slightly, then show the permanent consequence message.",390,560
inst-0189,"Rebuild for landscape tablet: recorder card left half, recent takes beside it, tab bar as left vertical rail. And let the ""Recent takes"" header row sort and filter too.",390,844
inst-0190,Adapt the full screen for desktop use. Change what stands out beside the document. Make the consent panel feel different.,390,844
inst-0191,"Change what this whole sheet filters. Change how early the sort card reads, and different tone for the selected color.",390,844
inst-0192,Stack each setting label above its selected value and align both left within the settings list.,390,560
inst-0194,Enable users to proceed into the app.,390,844
inst-0196,"Make the arrival picker a compact two-step sequence: date first, then time, under numbered step headings. Change the tone of the “Continue” button.",390,560
inst-0197,1. Let readers drop finished tasks and see only open ones. 2. Lighten the author row under the note title.,390,844
inst-0198,Change how the header is arranged.,390,560
inst-0199,"Move the Next tier percentage below the bar, right edge of the remaining-hours line.",390,560
inst-0203,Separate upload details from active controls and feedback. Clarify that remaining time depends on the current connection. Make the upload screen consistent and task-focused.,390,844
inst-0206,Add a category filter to the Help articles list. Top feels faint — make it the screen's clear anchor.,390,844
inst-0207,Change the screen to a tablet settings view with comfortable side margins around the content. Use the full width while keeping it easy to scan. Add a button to reset all preferences in the header.,390,844
inst-0208,"Make it clear at a glance which saved addresses are mine and which aren't. And let the search field also pick the spot on a map. Below the step count at the right of the header, add one short gray line naming the next step.",390,844
inst-0209,Give the main message a consistent reading edge.,390,560
inst-0210,Make this a guide-team departure briefing; replace read time under the author with departure date and party size.,390,844
inst-0211,Change the follow-up task list order. Make the meeting recap card feel different.,390,844
inst-0213,Make goal details and funding setup clearly distinct. Show current progress while reviewing the target amount.,390,560
inst-0214,"In the expired backup method row, add a 'Replace card' button below the card name, right-aligned — then emphasize just the next charge line.",390,844
inst-0217,"Make it on-site defect capture; location over folder. Then replace the four mode words above the shutter with numbered steps, done/pending marked, current in green.",390,844
inst-0218,Show whether common accessibility needs can be accommodated.,390,844
inst-0219,"Change the episode deletion confirmation card to member removal. Make the safer button first with full emphasis, and put the delete button below with less emphasis. Make the caution and consequences immediately clear.",390,560
inst-0220,"Reframe what this screen is about. Show the yearly total under the big amount, and then change the order the adjust row reads.",390,560
inst-0221,Add a compact paperclip icon and attachment label beside the billing support message date.,390,844
inst-0222,Different structure at the task card bottom.,390,560
inst-0223,Add suggested first-note topics to the empty-state guidance.,390,560
inst-0225,Change the profile setup screen for business travel. Structure the setup progress tabs differently. Add a compact policy import button to the right of the employer policy section header.,390,844
inst-0226,"Make this a shop owner's restock screen, not personal saves. Then split the list into two groups: urgent and the rest. Feels like a shopping app — make it read as a work tool.",390,844
inst-0227,"1. Replace the rightmost playback control with a bookmark button that saves the current episode. 2. Give the primary playback action a more distinct, rounded look.",390,560
inst-0228,Make it read like a desktop page using the width. And show how well each time suits the group before picking.,390,560
inst-0229,Make the screen a wider desktop layout with the report card centered in one compact column. Make the reported item identifiable before submission.,390,560
inst-0230,"Add a dark gray ""Shortest first"" sort at the right end of the ""Start with one course"" line, and for the three course rows, drop the dividers, pale warm-gray fill, photo-rounded corners, small gap between rows.",390,844
inst-0231,Use a different overall structure.,390,844
inst-0232,Rework the order list structure.,390,560
inst-0233,Change how the comments flow. Make the bottom comment composer stand out more.,390,844
inst-0235,Make home a desktop dashboard: resume card and today’s plan wide left; courses and upcoming session narrow right. Add one short line below the upcoming session details showing the meeting format. Add a compact search button between the brand and notification and profile actions in the top bar.,390,844
inst-0236,"Rework how the Recipients list is grouped. Give the title line more to do, and rework the tone of the document card.",390,560
inst-0237,Add a specific recovery benefit to the featured workout card.,390,560
inst-0238,Make it feel less boxy and softer overall.,390,560
inst-0239,"Make this show team company card spending, not one personal account.",390,844
inst-0241,Make the primary action feel decisive and high-contrast.,390,560
inst-0242,Show free space left after install in the size and time row.,390,560
inst-0243,Adapt the sign-in screen for desktop. Add a password security guidance note. Change the top image’s position and size.,390,844
inst-0244,"Make this read as a store restock, not personal. The three rows read as one lump; make them read as two groups, and then rework the top product panel's feel.",390,560
inst-0246,"Rebuild for desktop as two columns — details left, lineup right — bottom tabs into a left vertical nav. And make the reserve button feel different.",390,844
inst-0247,"Give active “Appreciate” a white background, dark text, and yellow only on its icon and slim bottom accent.",390,844
inst-0248,Change the friend referral screen to invite seller teammates.,390,844
inst-0249,Rework the line under the goal title.,390,560
inst-0250,Let nurses plan shifts and see each shift’s assignment. Move the daily shift agenda above the month grid and make its rows slightly taller.,390,844
inst-0251,"Rebuild the shop screen for desktop, move the bottom nav. Then add a star rating and review count line under the spec line on each best-seller card.",390,844
inst-0252,Put it together a bit differently.,390,560
inst-0253,"Make it reviews for picking a repair contractor, showing job type.",390,560
inst-0254,Make billing commitment clear before a plan is chosen. Change when the currency note gets noticed. Make features easy to compare across plans and feel lighter.,390,844
inst-0255,"Switch this to individual personal accounts, not workspace members. Then break the paragraph under the headline into stages. Send button blends in — make its tone stronger.",390,844
inst-0256,Use desktop space without stretching the follower list.,390,844
inst-0257,Fill the top story block with a clearly different tone.,390,844
inst-0258,Change the result card’s information order. Change when the merchant card gets noticed. Change the color of the confirmation mark.,390,560
inst-0261,Turn the email verification card into a driver SMS step showing the masked mobile number in the intro. Set expectations for possible carrier delays to verification messages.,390,560
inst-0262,"Make it a caregiver credential application, not personal signup, and then add a license photo attach button right under the license number input in the card.",390,844
inst-0263,"Use a desktop article detail layout: centered reading column, bottom navigation in a slim left rail.",390,844
inst-0265,"On desktop, place the balance summary in a left column and account details in a wider right column. Change the account list to equal summary cards side by side, grouping each label, caption, and value.",390,560
inst-0266,Too bright now — should feel like a dark night screen. And should immediately show how far the listener got.,390,560
inst-0268,"I'd like one row of small status filter chips right under the Invoices heading, leftmost chip selected. Then the top card white with a thin gray border, dark text, gray progress bar with dark fill.",390,844
inst-0269,Change how the seller leaderboard is grouped.,390,560
inst-0270,"Make ""Choose a room"" a dark, larger sentence-case heading, left-aligned, with more space above the card.",390,844
inst-0272,Restructure the line under the progress bar. Then change the color of only the progress bar's filled part.,390,560
inst-0273,Group the history timeline by activity type.,390,844
inst-0274,"Turn this into podcast downloads screen: lists become episodes and shows with running time, cart tab becomes library.",390,844
inst-0275,Rearrange the two buttons at the bottom.,390,560
inst-0278,Change the search card’s styling.,390,844
inst-0279,Change the time row's arrangement.,390,560
inst-0280,Change the app frame to a centered desktop canvas with wide landscape proportions. Rework the structure of the cart item list. Make it clearer when purchased licenses become available.,390,844
inst-0282,"Change the workspace pin card into a saved-recipe collection, give the dish images in each recipe row more emphasis. Add sorting to the saved recipe list heading.",390,560
inst-0284,"Make a desktop workspace: header in the left panel, study tasks in the wider right panel. Make the status groups clearly distinct. Make the next study session time clear.",390,560
inst-0285,"Make it a landscape tablet screen, and stand the bottom tab bar vertically on the left. Make it clear how far the restore has gotten, then put the logo beside the name and tagline, left-aligned along the card top; keep the name largest.",390,844
inst-0286,Change the screen layout on desktop. Group feed updates by type. Change what stands out in the header.,390,844
inst-0287,"Show the owner and their role on the community card. Make the invite link read first in the middle group, and then colour the top check mark and the bits around it.",390,844
inst-0288,"Let users clear the saved address from the email field. Keep the Send button in place, with a navy fill and white label.",390,844
inst-0289,Rethink what the Settings bar holds. And make the headings above the cards stand out more,390,844
inst-0290,"Make the scheduling form a compact three-step vertical stack: date, time, then review via the existing selection summary. Change what leads in first-step date note. Add a change option to the delivery address.",390,844
inst-0291,"Change the situation this screen serves. Change the preset list's reading order, then change what the top preset block says.",390,560
inst-0292,Add a compact transfer reference line beneath the timing row in the transfer card. Make the transfer status the first thing users notice. Make active progress visually distinct.,390,560
inst-0293,"Split ""Your circles"" into two labelled groups, ones with unread activity first. Add a small dismiss X at each suggestion row's far right, outside the Join button. And make the top bar's color different.",390,844
inst-0294,Create an experience suited to desktop. Change how the Helpful guides list is organized,390,844
inst-0295,"Add reward amount and sent date to the invite rows, and then fill the code block with the button's teal, text in white; flip Copy to white with teal text.",390,560
inst-0296,Make the tour screen a centered desktop panel with content and navigation spread across the wider frame. Turn the instruction list into a step-by-step flow. Add color contrast to the conversion diagram.,390,844
inst-0297,"Move the card counter to the progress bar's right end in small gray; keep only the date range. Add the change from last week with an up arrow under the amount, and shorten the sentence below. Then swap the cyan accent for warm orange everywhere — dark brown text on the filled tile and button.",390,844
inst-0298,Replace lodging details with sleeping capacity and a child-friendly amenity. Let parents narrow stays by family needs first.,390,844
inst-0299,"Turn the language-practice log into a rehab home-exercise log, skills → exercise groups, prescribing therapist under the total, and let patients start today's record from this screen.",390,560
inst-0301,"Restructure the coach row, and change the color tone of the top 'Yes, cancel session' button.",390,560
inst-0303,Make it a desktop window and move the bottom icons.,390,844
inst-0305,"Add a plus tile at the end of the photo row, shrink the thumbnails to keep one line. Then move 'Visible in shop' to the top of the list and make its label larger and bold. Input boxes all blend into the white page, add color.",390,844
inst-0306,Make it a post-appointment feedback screen with clinician and appointment details replacing the playlist in the session card. Change how the feedback form is organized.,390,844
inst-0307,"1. Add assigned team to each line; discount line becomes company rate. 2. In the product list card, split into two groups with small headings: live courses on top, self-paced below.",390,844
inst-0308,"Group the recommended groups list into compact goal-based sections under short category labels, keeping existing rows. Change the intro area's colors and typography.",390,844
inst-0310,Enable guardians to monitor a child’s pronunciation coaching and progress. Make the guardian-facing purpose primary and coach identity supporting. Enable a detailed view of the child's progress.,390,560
inst-0311,"Add the remaining days after the person's name on both ""Expiring soon"" rows' second line. Stack the total above ""Empty Trash"", and make ""Empty Trash"" a full-width line, larger and bolder. And the Restore chips blend into the row — strengthen their color.",390,844
inst-0312,Change the order in the instruction card. Change the scan frame’s order. Make capture panel translucent black and secondary controls white; keep bright cyan for active mode/capture button.,390,844
inst-0316,Make the screen a compact desktop dialog centered in a wider computer workspace. Make permanent note deletion distinct from reversible actions.,390,560
inst-0317,"Rework the card's bottom action area layout. Color reads like an alert; make it calm, financial, still loudest.",390,560
inst-0318,Create a clear four-stage flow covering every filter group. Create a clearly segmented look between current and remaining steps.,390,844
inst-0319,"Reframe the welcome screen as a desktop page within a wider horizontal canvas. Add a compact workspace preview with generic plan rows and status markers beside the welcome message. Shorten the primary button to fit its label and arrow, left-aligned beneath the introduction.",390,844
inst-0320,Separate the bottom primary button.,390,844
inst-0321,"Swap the inbox to buyer inquiries, time slot to reply deadline.",390,844
inst-0322,Regroup the event information section.,390,844
inst-0323,"It blends into the background, make it clearly lifted.",390,560
inst-0324,Make it useful for restaurant owners preparing menu item photos. Make the main focus appear before the styling controls.,390,560
inst-0325,Adapt the overall screen for desktop. Add a brief group purpose description to the profile summary. Make the main progress area more distinct and focused.,390,844
inst-0326,Make eligibility clear before activation. Give the top image a different feel.,390,560
inst-0327,"Make this about wildfire evacuation alerts, not card payments — and change the overall accent tone.",390,560
inst-0328,"Place the main title first, description beneath, and audience context smaller at the header bottom.",390,560
inst-0329,Show the board count in the lower list header too.,390,844
inst-0330,Adapt the screen for a desktop environment. Change the payment and delivery address area layout. Add receipt download to the header.,390,844
inst-0331,Make this show the seller's own selling activity. Show at a glance which listings need attention and which don't — and show how much interest each listing is getting.,390,844
inst-0332,"Turn the cart hold screen into a smartwatch view centered on remaining time, removing item details.",390,560
inst-0333,Let the bottom card's transaction list open the full history.,390,844
inst-0334,"Make related content come together by health area. Change the order in ""Readiness"".",390,844
inst-0335,"Change the headline, body, and note to a failed vet appointment. And make it clear which pet and what visit type.",390,844
inst-0336,"Make a field-service download screen; swap each item's workspace type and update date for site and visit schedule. Group the saved list into today’s and upcoming visit sections, placing relevant packs under each heading. Give the storage summary card a dark navy surface, white text, and high-contrast yellow usage bar.",390,844
inst-0337,Make public classroom resource recommendations teacher-focused with fit information. Emphasize subject and grade range in the resource summary.,390,560
inst-0338,"1. Rethink how the bottom buttons are arranged. 2. Photo full width in the preview box, title, date line, group stacked left-aligned below, title one step larger.",390,560
inst-0339,Structure the first article card’s info differently. Change what stands out in feed intro.,390,844
inst-0340,"Show whether files saved on devices get deleted too. And fill the ""Continue to delete"" button deep red instead of teal, keep the white label.",390,560
inst-0341,Make the overall flow feel different. Make choices easier to compare and emphasize the selection more.,390,560
inst-0342,"1. Replace the language-and-level line under the name with site and shift. 2. Make the first of the three bottom buttons half the row, the other two small beside it.",390,844
inst-0343,Make it immediately clear when the recording began. Make the active recording state feel urgent and distinctive.,390,844
inst-0344,"Add one line right under the ""Night 6 · Guided wind-down"" subtitle: nights finished, nights left; then, first row under ""Next in program"": title larger, darker, more space around it; two below smaller, tighter.",390,844
inst-0348,"Let users actually switch plans from this screen. Make the suggested plan column bigger than the other two, and it reads like a ruled grid — make it feel grouped.",390,844
inst-0349,Turn Payment Methods into a payout accounts screen. Add available balance and next payout to the intro. Add a direct payout action to the primary add button.,390,844
inst-0350,"Screen is still a phone column, lay it out for desktop. And split the comment list into answered and unanswered. Show more in the comment box.",390,560
inst-0354,"Let people tell what the next episode covers before playing, then make the episode count large on the left, percentage small on the right; leave the bar and end labels.",390,560
inst-0355,"Make the annotation screen a desktop workspace with wider editing and existing navigation fixed on the left. Combine frame metadata, note summary, and media status in that order into one review panel beside the canvas.",390,844
inst-0356,"Show remaining steps apart from the finished ones, keep finished visible. And fill the top hero with the same cream as the sections, make the title bigger, round the author initials.",390,844
inst-0359,Make it clear whether cancellation can be reversed.,390,560
inst-0362,"Center it as a desktop dialog over a dimmed page, two bottom buttons side by side at right, then restructure the quoted post block — reason choices should catch the eye before the intro text.",390,560
inst-0363,"Feels like a stretched phone — rebuild this layout for desktop. And split the four cards into two titled sections: photo and both fields, then interests and daily goal.",390,844
inst-0365,"Change how the coupon list is grouped. Then lay the top credit block on a light gray rounded panel, roomy inside, amount and button colors unchanged.",390,560
inst-0370,"Split the form into three compact numbered sections: “Meal details,” “Foods,” then final review. Change when the calorie total gets noticed.",390,560
inst-0373,Make it a museum exhibition audio tour; price/stock becomes gallery room. Then split the list below by floor and number the stops.,390,844
inst-0374,Turn the sign-in screen into a host portal with a property and guest management introduction. Make it feel professional and operational for hosts.,390,844
inst-0376,Change how the chapter list is organized.,390,844
inst-0377,"Make it watch-sized: stack the current stop and play under the title, drop the bottom tab bar.",390,844
inst-0379,Change how the completion message flows. Make the success illustration slightly smaller and place it closer to the completion heading. Make the completion state feel more distinct from standard information panels.,390,560
inst-0381,Rework category filters and product list structure.,390,844
inst-0382,Change the top balance card's tone.,390,844
inst-0383,"Rethink what this screen is for. On a landscape tablet, put course info left, lesson list right, tabs as a left rail, and tone down the three instructors block.",390,844
inst-0385,"Add a dark gray X at the far right of the title so you can leave without saving. Then change where the ""New list"" line sits.",390,560
inst-0386,Let users play the full series from the episode section.,390,844
