set_id,unit_ordinal,target_name,method_level,text
inst-0027,2,Functionality & Behavior,1,Add a compact full-width button directly below the child-privacy summary that opens parental controls.
inst-0028,1,Environment,4,Rebuild this screen for a tablet.
inst-0028,2,Style,1,Make the three tag chips fill-free with a thin purple outline and fully rounded ends.
inst-0029,1,Flow & Information Architecture,4,Try changing the selection order.
inst-0029,2,Functionality & Behavior,2,Add access to all teammates in the teammate row.
inst-0030,1,Environment,1,"Rebuild for desktop: suggestion cards on the left, ""Others in your program tried"" on the right, link under the cards."
inst-0030,2,Content & Information,4,"Three rows under ""Others in your program tried"": change what reads first."
inst-0031,1,"Situation, Context & Scenario",4,Make its context feel different
inst-0031,2,Flow & Information Architecture,3,Make the flow clear from reserve setup to transfer scheduling.
inst-0031,3,Style,2,Apply financial brand treatment to the primary button.
inst-0032,1,Style,2,Make a change to the brand mark.
inst-0033,1,Content & Information,4,Show more discount detail in the order summary.
inst-0034,1,"Situation, Context & Scenario",2,Turn the Perks screen into a community host earnings screen.
inst-0034,2,Environment,1,"On desktop, use a wide app shell and move the primary navigation into a left rail."
inst-0034,3,Layout & Hierarchy,4,Change what appears first.
inst-0035,1,"Situation, Context & Scenario",3,"Make this about inviting coworkers to fill seats, not rewards."
inst-0035,2,Content & Information,1,"In each invite list row, add the access level as a short line under the name."
inst-0035,3,Style,2,Recolor the link copy row so it stands out.
inst-0036,1,Environment,3,Make the screen use tablet space without widening its content column.
inst-0037,1,Style,2,Give the bottom delete row a different background fill.
inst-0038,1,Environment,2,Change the screen to a desktop view.
inst-0038,2,Flow & Information Architecture,1,Arrange the rankings with leading members in a podium above a compact list of remaining members.
inst-0038,3,Style,2,Change the color treatment of the podium area.
inst-0039,1,"Situation, Context & Scenario",1,"Make this a beginner live cooking-class feed — featured a class, tiles recipe collections, rows show time left."
inst-0039,2,Content & Information,1,Add one more gray line under the meta line with instructor name and difficulty.
inst-0039,3,Layout & Hierarchy,1,"Make both section headings a step larger than the titles below, and add more space above each."
inst-0040,1,Flow & Information Architecture,3,Make praise versus problem reports obvious at a glance.
inst-0040,2,Content & Information,2,Also show the written review count in the score block.
inst-0041,1,Flow & Information Architecture,1,"Split the agenda into two groups by action required, put action-required first, and add small labels above each."
inst-0041,2,Functionality & Behavior,2,Add an event filter to the calendar toolbar.
inst-0041,3,Style,3,Make event categories distinguishable at a glance.
inst-0042,1,Environment,4,Rebuild this screen for desktop.
inst-0042,2,Layout & Hierarchy,4,Rearrange the three product rows in the first answer.
inst-0042,3,Style,4,Change the reply chips' look a bit.
inst-0043,1,Environment,4,Adapt the screen for desktop.
inst-0043,2,Style,4,Change the deletion card’s surface styling.
inst-0044,1,"Situation, Context & Scenario",1,"Make it my tutor's profile, not a followed guide; swap guides/followers for languages taught and years teaching."
inst-0044,2,Content & Information,1,Add a line under the role line with the tutor's rating and review count.
inst-0045,1,Layout & Hierarchy,2,Rework the structure of the sign-in form.
inst-0046,1,Style,3,Make the problem row catch the eye first when scanning.
inst-0047,1,Flow & Information Architecture,1,Divide the order list into “Completed” and “Refunded”; keep date years and remove duplicate row statuses.
inst-0047,2,Functionality & Behavior,2,Add sorting to the category filter row.
inst-0048,1,Style,2,Top dark block reads heaviest — recolor it.
inst-0048,2,Content & Information,4,Restructure the three agenda lines.
inst-0049,1,Style,4,Change the Check Answer button’s feel.
inst-0050,1,Style,2,Make the filled part of the progress bar stand out.
inst-0051,1,Environment,2,Adapt the booking screen for desktop.
inst-0051,2,Layout & Hierarchy,3,Make lodging context and urgent booking tasks easy to scan together.
inst-0052,1,"Situation, Context & Scenario",1,"Turn the sleep schedule editor into a rotating-shift planner, with a shift-cycle selector replacing weekly repeat."
inst-0052,2,Environment,2,Adapt the rotating-shift planner for desktop.
inst-0052,3,Layout & Hierarchy,2,Give the scheduled sleep summary more emphasis.
inst-0053,1,Functionality & Behavior,4,"Let me filter the ""Start time"" list."
inst-0053,2,Layout & Hierarchy,1,Top photo banner's too tall — halve its height so the times move up.
inst-0053,3,Style,4,Rework the coloring of the time chips.
inst-0054,1,Flow & Information Architecture,3,Make reviewing the terms conclude with consent.
inst-0054,2,Functionality & Behavior,2,Add download functionality to the document title and version.
inst-0055,1,Flow & Information Architecture,3,Let one topic's help all sit together.
inst-0055,2,Style,1,"Make the top band white with near-black title, and the search field a light gray rounded pill."
inst-0056,1,Flow & Information Architecture,4,Structure the collection list differently.
inst-0057,1,Flow & Information Architecture,2,Comments just stack in a row — group them into conversations.
inst-0058,1,"Situation, Context & Scenario",1,Make the weekly spending story a shared household dining recap showing each member’s contribution to the increase.
inst-0058,2,Flow & Information Architecture,3,Make each member’s share of the dining increase clear.
inst-0059,1,Environment,3,"Make the screen smartwatch-sized, vote count visible at a glance"
inst-0059,2,Flow & Information Architecture,1,Split the reaction area into two labelled groups — my vote and everyone else's — and drop the divider.
inst-0060,1,Functionality & Behavior,3,Allow comments to be sorted by recency.
inst-0061,1,"Situation, Context & Scenario",3,Change this so library users can report damage to borrowed books.
inst-0061,2,Layout & Hierarchy,1,"Move the institution name below and right of the task title, and make it smaller."
inst-0061,3,Style,1,"Use cream backgrounds and dark navy lines in the damage-type list, with very pale blue on selected items."
inst-0062,1,Flow & Information Architecture,1,"Merge the saved places and recent searches cards into one list grouped by city, with a single header keeping the manage link."
inst-0062,2,Functionality & Behavior,4,Add another way to enter an address in the search block.
inst-0062,3,Content & Information,3,"Make clear which nights this address is for, here."
inst-0063,1,"Situation, Context & Scenario",4,Change the target user for this screen.
inst-0063,2,Flow & Information Architecture,2,Reorganize the crop panel controls.
inst-0064,1,Content & Information,1,"Split the step line under the progress bar: step count on top, syncing institution · time left below."
inst-0064,2,Functionality & Behavior,2,Add a button in that empty gap to skip the wait
inst-0065,1,"Situation, Context & Scenario",2,Change the wallet screen to a parent-managed child wallet.
inst-0065,2,Functionality & Behavior,4,Change the order in Recent activity
inst-0066,1,"Situation, Context & Scenario",1,"Retarget to a property manager: top totals units, rows list building, units, last inspection; drop the lock icon."
inst-0066,2,Environment,1,"Rebuild the screen for tablet: summary beside the building lists, bottom tab bar as a left rail."
inst-0067,1,"Situation, Context & Scenario",3,Enable personalized pet-supply shopping setup.
inst-0067,2,Flow & Information Architecture,2,Regroup the preferences below the pet profile.
inst-0068,1,Layout & Hierarchy,3,Make choosing a list flow directly into saving.
inst-0069,1,Functionality & Behavior,2,Let users edit the bedtime and wake times on that line.
inst-0070,1,Flow & Information Architecture,2,Change the order of the at-a-glance list.
inst-0070,2,Content & Information,2,Add estimated reading time to the publication and update date line.
inst-0070,3,Style,2,Change the color treatment of the “Full policy” button.
inst-0071,1,Flow & Information Architecture,4,Organize the activity list differently.
inst-0071,2,Content & Information,3,Make each event’s day context clear.
inst-0071,3,Style,2,Make the person tiles feel more distinct.
inst-0072,1,"Situation, Context & Scenario",2,Switch to technician view; make the price panel a work order.
inst-0072,2,Flow & Information Architecture,2,Group the list under the video by progress order.
inst-0072,3,Style,3,"Make the footage clearer, keep controls easy to read."
inst-0073,1,"Situation, Context & Scenario",3,"Switch it to the homeowner, showing today's on-site progress."
inst-0073,2,Style,3,"Make the caption card feel heaviest, still easy to read."
inst-0074,1,"Situation, Context & Scenario",4,Change how the progress card is arranged.
inst-0074,2,Layout & Hierarchy,4,Change when the saved amount stands out
inst-0074,3,Functionality & Behavior,4,Reorder the target date information.
inst-0075,1,Flow & Information Architecture,3,Show my own rank inside the same ranking.
inst-0075,2,Functionality & Behavior,3,Let users rank by sales or by order count.
inst-0075,3,Style,3,Make the top read as separate from the list.
inst-0076,1,Flow & Information Architecture,2,Rework the date and time selection area.
inst-0076,2,Content & Information,2,Add the lesson format to the tutor card.
inst-0076,3,Style,1,"Make the final booking summary a white, thin dark-gray-outlined card, keeping the plum confirmation button."
inst-0077,1,Content & Information,4,Add information about who each reply author is.
inst-0077,2,Layout & Hierarchy,4,Change what leads in the product preview.
inst-0078,1,Environment,4,Make the screen a tablet layout.
inst-0078,2,Style,1,"The dots under the dates barely show — make them dark navy, bigger, and more spaced."
inst-0079,1,Layout & Hierarchy,1,Make the episode artwork moderately smaller and keep it centered above the episode details.
inst-0080,1,Functionality & Behavior,4,Rework the bottom two buttons' setup.
inst-0081,1,Environment,3,Adapt the screen for desktop and keep attention on the decision.
inst-0081,2,Layout & Hierarchy,3,Make the decision area compact and the primary action clear.
inst-0081,3,Functionality & Behavior,4,Make the permission note expandable.
inst-0082,1,Environment,2,Change the screen to a desktop version.
inst-0082,2,Functionality & Behavior,2,Each invoice row should let you download the PDF.
inst-0082,3,Layout & Hierarchy,1,"Move the title block to a full-width band above both columns, name much bigger than the amount."
inst-0083,1,Style,4,Make the Checkout button feel different.
inst-0084,1,Layout & Hierarchy,3,"Make remaining stock catch the eye first, other three quiet."
inst-0085,1,Functionality & Behavior,4,Rework how “Suggested stops” is arranged.
inst-0086,1,Flow & Information Architecture,2,All three read as one run — separate the picked dish.
inst-0087,1,"Situation, Context & Scenario",1,Turn password recovery into a workspace-member flow with a workspace ID field before account email.
inst-0087,2,Layout & Hierarchy,1,Make the main heading slightly smaller so the recovery form carries more visual weight.
inst-0087,3,Functionality & Behavior,1,Add a compact secondary recovery code button below the primary button and above the expiration note.
inst-0088,1,Functionality & Behavior,4,Add a way to clear the email field.
inst-0088,2,Layout & Hierarchy,4,The clock card's order in the form should change.
inst-0088,3,Style,4,Change the top bar's color.
inst-0089,1,"Situation, Context & Scenario",2,Rework the article for endurance athletes’ recovery lunches.
inst-0090,1,Environment,1,"Make the screen desktop: chat list on the left, thread and composer wide center, no bottom tabs."
inst-0091,1,"Situation, Context & Scenario",2,Turn the follower panel into a workspace access request panel.
inst-0091,2,Content & Information,4,Change each row’s requester detail order.
inst-0091,3,Layout & Hierarchy,2,Separate pending and approved requests in the request list.
inst-0092,1,"Situation, Context & Scenario",3,Make this a patient booking a blood draw at a lab.
inst-0092,2,Flow & Information Architecture,2,Split the time list into morning and afternoon.
inst-0092,3,Content & Information,3,Show each day's openings and why some are dimmed.
inst-0093,1,Content & Information,1,Add one truncated line of the delivery address directly below the estimated-delivery row.
inst-0093,2,Layout & Hierarchy,1,"In the order summary, make the product image smaller, left of a wider arrival information area."
inst-0093,3,Style,1,Change the status badge to a dark green background with white text.
inst-0094,1,"Situation, Context & Scenario",1,Retarget the screen to shop owners watching wholesale restocks and cost; bottom line lists covered supplier catalogues.
inst-0094,2,Flow & Information Architecture,1,"Split into two labelled groups — what the owner sets up, what runs automatically — and drop the numbers."
inst-0094,3,Style,1,"Fill the top banner with the same solid yellow as the bottom button, icon in dark gray line work."
inst-0095,1,Environment,2,Adapt the screen for a computer environment.
inst-0095,2,Layout & Hierarchy,1,Make FAQs the wide left column; put contact support above help guides in the narrow right column.
inst-0095,3,Style,3,"Give it a cleaner, recognizable health-service feel."
inst-0096,1,Environment,2,Adapt the screen for desktop review.
inst-0096,2,Flow & Information Architecture,4,Change how the screen is laid out.
inst-0097,1,"Situation, Context & Scenario",2,Change this to share a lab-result summary with the care team.
inst-0097,2,Flow & Information Architecture,1,"Split recipients into care team and patient-consent-needed groups, replacing the label above with the two headings."
inst-0098,1,Environment,1,Turn the screen into a desktop canvas with primary navigation on the left and a wide browsing area.
inst-0098,2,Flow & Information Architecture,1,Split the curated list into side-by-side labeled 'Collections' and 'Guides' groups in the main area.
inst-0098,3,Content & Information,1,Add the last-updated date to the metadata line beneath the featured guide title.
inst-0099,1,Environment,1,"Rebuild for desktop as two columns: confirmation and event card left, order summary right, tabs to top nav."
inst-0099,2,Flow & Information Architecture,1,"Make the two Next steps rows a numbered sequence by timing, with a line down the left."
inst-0099,3,Style,1,"Make the pink fills white with thin gray outlines, and the checkmark, total, step numbers navy."
inst-0100,1,Environment,2,Adapt the lesson suggestions screen for desktop.
inst-0100,2,Functionality & Behavior,4,Arrange the featured lesson action area differently.
inst-0101,1,Environment,4,Move this screen to desktop.
inst-0101,2,Functionality & Behavior,3,Let people check the password they typed.
inst-0102,1,Environment,2,Change the booking screen for desktop.
inst-0102,2,Layout & Hierarchy,3,Use the width and show the message and next step together.
inst-0102,3,Functionality & Behavior,2,Add a saved-stays button to the top bar.
inst-0103,1,Layout & Hierarchy,4,Change the amount/payment detail line-up
inst-0104,1,Environment,1,"Switch to tablet: big viewfinder left, mode chips/capture row/history card right, tab bar to left rail."
inst-0105,1,"Situation, Context & Scenario",2,Change the conversation to an accessible-stay search.
inst-0105,2,Functionality & Behavior,1,Add a compact bookmark button to the top-right corner of each stay image.
inst-0106,1,Environment,3,"Make the screen desktop, using the full width."
inst-0106,2,Functionality & Behavior,4,Add one more action to the bottom buttons.
inst-0107,1,Content & Information,4,Add more management information to the guidance section.
inst-0108,1,Environment,4,Make this screen a desktop layout.
inst-0109,1,Environment,3,"Make the screen tablet-friendly, showing invites and pending items together."
inst-0109,2,Flow & Information Architecture,4,Change the invitation panel’s order and grouping.
inst-0109,3,Content & Information,3,Make the remaining time visible for each pending invitation.
inst-0110,1,"Situation, Context & Scenario",3,Show the host's earnings and whether they've been paid.
inst-0110,2,Functionality & Behavior,4,Filter row should do more.
inst-0110,3,Layout & Hierarchy,2,"Make the total under the title bigger, note smaller."
inst-0111,1,"Situation, Context & Scenario",4,Change this screen's target audience.
inst-0111,2,Functionality & Behavior,3,Let learners start a question from the course screen.
inst-0112,1,Environment,1,"Make this a wide desktop layout, and move the bottom tabs into a left column."
inst-0112,2,Style,3,"Make the filter row lighter, chosen one clearly brand-colored."
inst-0113,1,Content & Information,4,Change the order of cancellation guidance.
inst-0113,2,Style,4,"Make ""Cancel"" feel different."
inst-0114,1,"Situation, Context & Scenario",2,Switch the card to nursing alumni mentoring; replace the people rows.
inst-0114,2,Flow & Information Architecture,2,Turn the bottom three thumbnails into ordered steps.
inst-0115,1,Style,3,Make the sleep window primary and supporting content lighter.
inst-0116,1,Style,4,Change the Cancel this session button's color.
inst-0117,1,Environment,3,Make the screen use the wider desktop workspace.
inst-0117,2,Flow & Information Architecture,2,Separate the content in the chart card.
inst-0117,3,Functionality & Behavior,2,Add report export to the page heading.
inst-0118,1,"Situation, Context & Scenario",4,Change the target user for this screen.
inst-0118,2,Flow & Information Architecture,2,Split the bottom sliders into groups by type.
inst-0118,3,Content & Information,3,Let sellers see what the original photo is before cropping.
inst-0119,1,Layout & Hierarchy,4,Change what leads in the order row.
inst-0119,2,Functionality & Behavior,3,Let users open the full package tracking details.
inst-0120,1,Content & Information,2,Show how many files each item holds on its second line.
inst-0120,2,Layout & Hierarchy,2,Make the used amount bigger and the free-of-total smaller.
inst-0121,1,Environment,3,Make it viewable in a wider tablet environment.
inst-0121,2,Layout & Hierarchy,1,Split the main area into a narrow left storage summary and wider right saved-content list.
inst-0121,3,Style,1,Make the storage summary card navy with white text and a light blue storage track.
inst-0122,1,"Situation, Context & Scenario",3,Switch to a warehouse picking app so pickers speak hands-free.
inst-0122,2,Environment,1,"Move the screen to a smartwatch — drop the top photo, keep the headline and one line."
inst-0122,3,Layout & Hierarchy,1,"Keep them stacked but make allow taller with a bigger label, and shrink decline to a small centered line with a gap above."
inst-0123,1,Environment,2,Make the screen wider on tablet.
inst-0123,2,Layout & Hierarchy,4,Align the stay summary differently.
inst-0123,3,Functionality & Behavior,1,"At the bottom, place a secondary stay-details button first and the removal button second."
inst-0124,1,Environment,4,Move this screen to tablet.
inst-0124,2,Flow & Information Architecture,3,Show personal and circle chats as separate blocks in unread
inst-0124,3,Content & Information,2,Show each person's presence status in Active now.
inst-0125,1,"Situation, Context & Scenario",3,Make it serve community volunteers preparing for assigned shifts.
inst-0126,1,Style,4,Restyle the Chapters timestamps to stand out more.
inst-0127,1,Flow & Information Architecture,3,Make the selected location distinct from the other options.
inst-0127,2,Functionality & Behavior,3,Make saved locations directly manageable.
inst-0127,3,Style,3,Make the location flow feel cleaner and higher-contrast.
inst-0128,1,"Situation, Context & Scenario",2,Make this screen a business trip approval request.
inst-0128,2,Content & Information,3,Show which days and how many nights at each stop.
inst-0128,3,Functionality & Behavior,1,"Add a plain ""save and finish later"" text action centered under the bottom button."
inst-0129,1,Content & Information,4,Change what shows first in status line
inst-0129,2,Style,3,Create a distinct neutral card feel while preserving red status emphasis.
inst-0130,1,"Situation, Context & Scenario",4,Rework what the card shows.
inst-0130,2,Environment,3,"On a watch, only the essentials should read at a glance."
inst-0131,1,Functionality & Behavior,3,Let users choose the order of recommended groups.
inst-0132,1,Layout & Hierarchy,1,"Move the attempts text left in the underline pink, slightly larger; push ""Forgot password"" to the right end."
inst-0133,1,Style,4,Make the selected-location sheet feel different.
inst-0134,1,"Situation, Context & Scenario",4,Rework the order and composition.
inst-0135,1,"Situation, Context & Scenario",3,Give expectant parents stage-specific prenatal nutrition guidance.
inst-0136,1,Functionality & Behavior,1,Add a compact search icon button immediately before the top-right action in the header.
inst-0136,2,Style,1,Restyle the settings groups as white cards with light-gray row dividers and rounded outer corners.
inst-0137,1,"Situation, Context & Scenario",1,"Make it a commuter fare wallet — pass fare balance, rides to a free ride, fare discounts."
inst-0137,2,Style,2,Change the tag color under the first coupon to stand out.
inst-0138,1,Environment,4,Adapt the screen for desktop.
inst-0139,1,Layout & Hierarchy,2,Move the gray row with date and sleep times up.
inst-0140,1,Environment,4,This screen should move to desktop.
inst-0140,2,Flow & Information Architecture,4,Change how the comments are grouped.
inst-0140,3,Content & Information,2,Show who uploaded the document and when it was updated.
inst-0141,1,"Situation, Context & Scenario",1,"Turn the episode action menu into an audiobook menu, replacing episode details with book title and chapter progress."
inst-0142,1,Functionality & Behavior,3,Let viewers add each featured item right there.
inst-0143,1,"Situation, Context & Scenario",1,Replace the tour’s vocabulary review with travel-phrase pronunciation coaching for adults and a speaking-and-listening visual.
inst-0143,2,Functionality & Behavior,4,Change how the tip panel is presented.
inst-0144,1,"Situation, Context & Scenario",3,"Should read as company accounts, showing which business each belongs to."
inst-0144,2,Flow & Information Architecture,3,"Show the whole account order at a glance, first to last."
inst-0144,3,Style,3,"Too bright — make it feel plainer, more businesslike."
inst-0145,1,Environment,3,Make the screen feel properly proportioned for desktop.
inst-0145,2,Layout & Hierarchy,3,Make the recommendation and visibility note easy to scan together.
inst-0146,1,Functionality & Behavior,3,Let the shared view open full screen during the call.
inst-0146,2,Layout & Hierarchy,4,Change which round buttons read first.
inst-0147,1,Functionality & Behavior,4,Rework the right end of each track row.
inst-0147,2,Layout & Hierarchy,4,Rework the tracks heading's reading order.
inst-0148,1,Flow & Information Architecture,1,"Make the card stack a guided flow, with information before term and purchase amount cards."
inst-0148,2,Functionality & Behavior,1,Add a compact edit button directly to the right of the purchase amount field.
inst-0148,3,Style,3,Keep the yield prominent and the overall tone restrained.
inst-0149,1,Content & Information,2,Add difficulty and points to the topic label above the question.
inst-0149,2,Functionality & Behavior,2,Add a mark-for-later option to the top title row.
inst-0149,3,Layout & Hierarchy,2,Make the progress bar under the title stand out.
inst-0150,1,Layout & Hierarchy,4,Change what appears first in the header.
inst-0151,1,"Situation, Context & Scenario",3,Enable team members to move documents between shared project folders.
inst-0151,2,Functionality & Behavior,3,Allow creating a destination when no folder fits.
inst-0152,1,Environment,3,Shift the screen to desktop so everything shows without scrolling.
inst-0152,2,Flow & Information Architecture,3,"Group by when circles meet, not membership."
inst-0153,1,"Situation, Context & Scenario",3,Make creator identity and audience performance the focus.
inst-0154,1,Style,4,Rework the tone of both buttons.
inst-0155,1,"Situation, Context & Scenario",2,Adapt the call screen for roadside-assistance calls.
inst-0156,1,Flow & Information Architecture,1,"Split the reasons into behavior and content groups, each with a blue uppercase caption, wider gap between groups."
inst-0157,1,Content & Information,3,Clarify what runners need before setup.
inst-0157,2,Functionality & Behavior,3,Let runners experience the alert before setup.
inst-0158,1,"Situation, Context & Scenario",1,"Make the recipe detail allergy-aware, replacing the dish illustration with a compact dietary-risk summary."
inst-0158,2,Flow & Information Architecture,2,Regroup the ingredients in the list.
inst-0158,3,Functionality & Behavior,4,Make the top actions work differently.
inst-0159,1,Content & Information,4,The top card says too little.
inst-0159,2,Layout & Hierarchy,4,Change how much Save stands out.
inst-0159,3,Style,2,Give the selected days in Repeat their own color.
inst-0160,1,Functionality & Behavior,1,"Add a compact sort button at the filter tabs’ right end, opening newest-first and oldest-first options."
inst-0161,1,Functionality & Behavior,4,Rework what sits under Members you may know
inst-0162,1,"Situation, Context & Scenario",2,Change the screen content to a workout order planner.
inst-0162,2,Style,1,Make the exercise rows dark navy with light text and bright green icons and drag handles.
inst-0163,1,Layout & Hierarchy,3,Make the transaction being moved read before the folder list.
inst-0163,2,Style,2,Put color on the selected folder row.
inst-0164,1,Flow & Information Architecture,2,Emphasize the first popular guide card.
inst-0164,2,Style,3,Give the screen a distinctive travel-brand feel.
inst-0165,1,"Situation, Context & Scenario",4,Change the bottom list to a different service.
inst-0165,2,Environment,4,Change the screen for tablet.
inst-0166,1,Environment,4,Adapt the screen for tablet use.
inst-0166,2,Content & Information,2,Add an episode synopsis to the Now Playing section.
inst-0166,3,Layout & Hierarchy,4,Reposition the playback preferences panel.
inst-0167,1,"Situation, Context & Scenario",4,Change what this notice is about.
inst-0167,2,Layout & Hierarchy,1,"Put the two bottom buttons side by side in one row, with ""Retry"" wider on the right."
inst-0167,3,Style,4,Change the progress bar's color feel.
inst-0168,1,Functionality & Behavior,1,"Add an eye-icon visibility toggle to the right edge of the ""Password"" field."
inst-0169,1,Environment,1,"Rebuild for a smartwatch — keep only the purple delivery status steps full-width, drop the bottom tab bar."
inst-0170,1,"Situation, Context & Scenario",2,Change the reply audience picker to document comment permissions.
inst-0170,2,Layout & Hierarchy,3,Make the permission scope clear before reviewing choices.
inst-0170,3,Functionality & Behavior,3,Let workspace managers deliberately apply their selection.
inst-0171,1,Flow & Information Architecture,3,Make the deleted list read as two urgency levels.
inst-0171,2,Functionality & Behavior,2,Let the card header filter the list by kind.
inst-0171,3,Style,1,"Keep the Empty trash button at the bottom outlined, but make its border and label red."
inst-0172,1,"Situation, Context & Scenario",3,Enable staff to review removed listings and removal reasons.
inst-0172,2,Layout & Hierarchy,1,"Place the guidance notice below the queue heading, before listings, in a tighter, less prominent treatment."
inst-0173,1,Layout & Hierarchy,3,"Time left read right after the title, host secondary."
inst-0173,2,Style,3,Top bar reads separate — make it one block with the episode.
inst-0174,1,"Situation, Context & Scenario",1,Make the episode screen an at-home PT session; replace summary host/release with assigned clinician and due date.
inst-0174,2,Flow & Information Architecture,4,Change the chapter list order.
inst-0175,1,"Situation, Context & Scenario",4,Top title block — different structure.
inst-0175,2,Flow & Information Architecture,2,Put each row's play order number where the initials are
inst-0176,1,"Situation, Context & Scenario",1,Turn the confirmation card into a patient appointment confirmation with a compact pre-visit checklist replacing sharing details.
inst-0176,2,Flow & Information Architecture,1,"Turn the ""Pre-visit checklist"" into short numbered steps stacked in chronological order."
inst-0177,1,Flow & Information Architecture,2,Combine the edge status and capture tip.
inst-0177,2,Functionality & Behavior,1,Change the camera mode label into a compact corner-adjustment button at the viewfinder’s upper left.
inst-0178,1,Environment,3,Make it fit a wider desktop screen.
inst-0178,2,Flow & Information Architecture,2,Organize the product list by investment goal.
inst-0179,1,Style,2,Filter and sticker thumbnail tiles blend into the card — rework their tone.
inst-0179,2,Content & Information,2,Show what each end of the strength slider means.
inst-0180,1,"Situation, Context & Scenario",3,Enable clinicians to choose an appropriate patient handoff recipient.
inst-0180,2,Environment,1,"Center a two-column recipient panel on desktop, with search and guidance beside the list and Share below."
inst-0181,1,Layout & Hierarchy,4,Change how information is arranged in review card headers.
inst-0181,2,Style,3,Make the rating breakdown more distinctive and visually engaging.
inst-0182,1,Environment,2,Change the screen to a desktop detail page.
inst-0182,2,Flow & Information Architecture,2,Make the episode section progress in season order.
inst-0183,1,Flow & Information Architecture,2,Group the Episodes rows by watched and unwatched.
inst-0183,2,Functionality & Behavior,1,"Add a small outlined discussion button at the right end of the circle activity line, same baseline as the text."
inst-0184,1,Functionality & Behavior,4,Arrange the trip context row differently.
inst-0184,2,Style,3,Make the live recording state feel immediate and distinct.
inst-0185,1,Flow & Information Architecture,1,"Split Members into joined people, then a 'Pending invites' group; drop the row tag."
inst-0185,2,Content & Information,3,Each member should show when they were last active.
inst-0186,1,Environment,2,Adapt the screen for desktop use.
