set_id,split,k,specificity_mean,model,category_group,category_name
inst-0123,train,3,2.33,sol,Actions,Favorite & Pin
inst-0127,test,3,3.0,sol,Utility,Location & Address
inst-0129,test,2,3.5,sol,Communication,Loading
inst-0130,train,2,3.5,opus,Data,Progress
inst-0131,test,1,3.0,sol,Social,Groups & Community
inst-0132,train,1,1.0,opus,Account Management,Login
inst-0133,test,1,4.0,sol,Utility,Map
inst-0134,train,1,4.0,opus,Communication,Acknowledgement & Success
inst-0135,val,1,3.0,sol,Actions,Follow & Subscribe
inst-0136,train,2,1.0,sol,Account Management,Settings & Preferences
inst-0137,train,2,1.5,opus,Commerce & Finance,Promotions & Rewards
inst-0139,train,1,2.0,opus,Actions,Delete
inst-0141,test,1,1.0,sol,Communication,Action Option
inst-0142,train,1,3.0,opus,Utility,Audio Player
inst-0143,train,2,2.5,sol,New User Experience,Guided Tour & Tutorial
inst-0144,train,3,3.0,opus,Actions,Favorite & Pin
inst-0146,train,2,3.5,opus,Utility,Call
inst-0147,val,2,4.0,opus,Actions,Edit
inst-0148,train,3,1.67,sol,Content,Product Detail
inst-0149,test,3,2.0,opus,Content,Quiz
inst-0150,train,1,4.0,sol,Commerce & Finance,Payment Method
inst-0151,train,2,3.0,sol,Actions,Move
inst-0154,train,1,4.0,opus,Commerce & Finance,Wallet & Balance
inst-0155,train,1,2.0,sol,Utility,Call
inst-0156,train,1,1.0,opus,Actions,Flag & Report
inst-0157,test,2,3.0,sol,Communication,Feature Info
inst-0158,test,3,2.33,sol,Content,Recipe Detail
inst-0159,train,3,3.33,opus,Utility,Reminder
inst-0160,train,1,1.0,sol,Social,Notifications
inst-0161,train,1,4.0,opus,Social,User / Group Profile
inst-0162,train,2,1.5,sol,Actions,Reorder
inst-0164,train,2,2.5,sol,Commerce & Finance,Subscription & Paywall
inst-0167,train,3,3.0,opus,Communication,Error
inst-0168,train,1,1.0,sol,New User Experience,Signup
inst-0169,test,1,1.0,opus,Commerce & Finance,Order Detail
inst-0170,train,3,2.67,sol,Actions,Set
inst-0171,train,3,2.0,opus,User Collections,Trash & Archive
inst-0172,test,2,2.0,sol,User Collections,Trash & Archive
inst-0173,train,2,3.0,opus,Content,Song & Podcast Detail
inst-0174,train,2,2.5,sol,Content,Song & Podcast Detail
inst-0175,train,2,3.0,opus,Actions,Reorder
inst-0176,test,2,1.0,sol,Communication,Acknowledgement & Success
inst-0177,val,2,1.5,sol,Utility,Camera & Scanner
inst-0178,train,2,2.5,sol,Commerce & Finance,Shop & Storefront
inst-0179,train,2,2.0,opus,Utility,Filters & Stickers
inst-0180,train,2,2.0,sol,Actions,Share
inst-0182,test,2,2.0,sol,Content,TV Show & Movie Detail
inst-0183,train,2,1.5,opus,Content,TV Show & Movie Detail
inst-0184,train,2,3.5,sol,Utility,Audio & Video Recorder
inst-0185,train,2,2.0,opus,Social,Invite Teammates
inst-0186,val,3,2.0,sol,Actions,Filter & Sort
inst-0187,train,3,2.33,opus,Actions,Save
inst-0188,train,2,2.0,sol,Communication,Confirmation
inst-0189,train,2,1.5,opus,Utility,Audio & Video Recorder
inst-0190,train,3,3.33,sol,Communication,Terms & Conditions
inst-0191,train,3,4.0,opus,Actions,Filter & Sort
inst-0192,test,1,1.0,sol,Actions,Add & Create
inst-0194,train,1,3.0,sol,New User Experience,Splash Screen
inst-0196,train,2,1.5,sol,Utility,Date & Time
inst-0197,test,2,2.5,opus,Content,Note Detail
inst-0198,train,1,4.0,sol,Data,Charts
inst-0199,test,1,1.0,opus,Social,Achievements & Awards
inst-0203,train,3,3.0,sol,Actions,Upload & Download
inst-0206,train,2,2.5,opus,Communication,Help & Support
inst-0207,train,3,2.0,sol,Account Management,Settings & Preferences
inst-0208,train,3,2.0,opus,Utility,Location & Address
inst-0209,train,1,3.0,sol,Communication,Permission
inst-0210,train,1,1.0,opus,Content,Article Detail
inst-0211,train,2,4.0,sol,Utility,Browser
inst-0213,test,2,3.0,sol,Actions,Edit
inst-0214,train,2,1.5,opus,Commerce & Finance,Payment Method
inst-0217,train,2,2.0,opus,Utility,Camera & Scanner
inst-0218,test,1,3.0,sol,Utility,Map
inst-0219,train,3,2.0,sol,Actions,Delete
inst-0220,train,3,3.33,opus,Actions,Set
inst-0221,test,1,1.0,sol,Content,Emails & Messages
inst-0222,train,1,4.0,opus,Content,Goal & Task
inst-0223,train,1,2.0,sol,Communication,Empty State
inst-0225,test,3,2.33,sol,New User Experience,Account Setup
inst-0226,train,3,2.67,opus,User Collections,Bookmarks & Collections
inst-0227,train,2,2.0,sol,Utility,Audio Player
inst-0228,train,2,3.0,opus,Utility,Date & Time
inst-0229,train,2,2.0,sol,Actions,Flag & Report
inst-0230,val,2,1.0,opus,New User Experience,Welcome & Get Started
inst-0231,test,1,4.0,sol,Commerce & Finance,Checkout
inst-0232,train,1,4.0,opus,Commerce & Finance,Order History
inst-0233,train,2,3.0,sol,Social,Comments
inst-0235,train,3,1.0,sol,Content,Home
inst-0236,train,3,4.0,opus,Actions,Share
inst-0237,test,1,2.0,sol,Communication,Suggestions & Similar Items
inst-0238,train,1,3.0,sol,User Collections,Bookmarks & Collections
inst-0239,train,1,3.0,opus,Social,Notifications
inst-0241,train,1,3.0,sol,Actions,Save
inst-0242,test,1,2.0,opus,Actions,Upload & Download
inst-0243,train,3,2.0,sol,Account Management,Login
inst-0244,train,3,3.33,opus,Communication,Suggestions & Similar Items
inst-0246,test,2,2.5,opus,Content,Event Detail
inst-0247,train,1,1.0,sol,Content,Post Detail
inst-0248,train,1,2.0,sol,Actions,Invite & Refer Friends
inst-0249,train,1,4.0,opus,Actions,Ban & Block
inst-0250,train,2,2.0,sol,Utility,Calendar
inst-0251,train,2,1.5,opus,Commerce & Finance,Shop & Storefront
inst-0252,train,1,4.0,sol,Data,Progress
inst-0253,train,1,3.0,opus,Social,Reviews & Ratings
inst-0254,train,3,3.33,sol,Commerce & Finance,Pricing
inst-0255,test,3,2.0,opus,Account Management,Forgot Password
inst-0256,train,1,3.0,sol,Social,Followers & Following
inst-0257,train,1,2.0,opus,Content,News Feed
inst-0258,train,3,3.33,sol,Actions,Ban & Block
inst-0261,val,2,2.0,sol,New User Experience,Verification
inst-0262,train,2,2.0,opus,New User Experience,Signup
inst-0263,train,1,1.0,sol,Content,Article Detail
inst-0265,train,2,1.0,sol,Commerce & Finance,Wallet & Balance
inst-0266,train,2,3.0,opus,Communication,Action Option
inst-0268,train,2,1.0,opus,Commerce & Finance,Billing
inst-0269,train,1,4.0,sol,Social,Leaderboard
inst-0270,train,1,1.0,opus,Content,Product Detail
inst-0272,train,2,3.0,opus,Utility,Dynamic Island
inst-0273,train,1,2.0,sol,Utility,Timeline & History
inst-0274,train,1,1.0,opus,User Collections,Downloads & Available Offline
inst-0275,train,1,2.0,sol,Actions,Cancel
inst-0278,test,1,2.0,sol,Utility,Location & Address
inst-0279,val,1,4.0,opus,Utility,Live Activities
inst-0280,train,3,2.0,sol,Commerce & Finance,Cart & Bag
inst-0282,test,3,2.0,sol,Actions,Favorite & Pin
inst-0284,test,3,2.33,sol,Content,Goal & Task
inst-0285,train,3,1.67,opus,New User Experience,Splash Screen
inst-0286,train,3,2.67,sol,Social,Social Feed
inst-0287,train,3,2.33,opus,Communication,Acknowledgement & Success
inst-0288,train,2,1.5,sol,Account Management,Forgot Password
inst-0289,train,2,4.0,opus,Account Management,Settings & Preferences
inst-0290,val,3,2.33,sol,Actions,Schedule
inst-0291,test,3,4.0,opus,Utility,Filters & Stickers
inst-0292,test,3,2.33,sol,Utility,Dynamic Island
inst-0293,test,3,2.0,opus,Social,Groups & Community
inst-0294,train,2,3.5,sol,Communication,Help & Support
inst-0295,test,2,1.5,opus,Actions,Invite & Refer Friends
inst-0296,test,3,1.67,sol,New User Experience,Guided Tour & Tutorial
inst-0297,train,3,1.0,opus,Content,Stories
inst-0298,train,2,2.5,sol,Content,Browse & Discover
inst-0299,test,2,2.0,opus,Data,Charts
inst-0301,test,2,3.0,opus,Communication,Confirmation
inst-0303,train,1,2.0,opus,Utility,Browser
inst-0305,train,3,1.33,opus,Actions,Edit
inst-0306,train,2,1.5,sol,Communication,Feedback
inst-0307,train,2,1.5,opus,Commerce & Finance,Cart & Bag
inst-0308,test,2,1.5,sol,Social,Groups & Community
inst-0310,train,3,3.0,sol,Actions,Follow & Subscribe
inst-0311,train,3,1.33,opus,User Collections,Trash & Archive
inst-0312,train,3,3.0,sol,Utility,Camera & Scanner
inst-0316,train,2,2.0,sol,Communication,Action Option
inst-0317,train,2,3.5,opus,Communication,Empty State
inst-0318,train,2,3.0,sol,Actions,Filter & Sort
inst-0319,train,3,1.0,sol,New User Experience,Welcome & Get Started
inst-0320,train,1,2.0,sol,Account Management,Delete & Deactivate Account
inst-0321,val,1,2.0,opus,Content,Emails & Messages
inst-0322,train,1,2.0,sol,Content,Event Detail
inst-0323,train,1,3.0,opus,Utility,Widgets
inst-0324,train,2,3.0,sol,Utility,Filters & Stickers
inst-0325,train,3,2.33,sol,Social,User / Group Profile
inst-0326,train,2,3.5,sol,Communication,Feature Info
inst-0327,train,2,3.5,opus,Communication,Permission
inst-0328,val,1,1.0,sol,Actions,Select
inst-0329,train,1,2.0,opus,Actions,Select
inst-0330,train,3,2.0,sol,Commerce & Finance,Order Detail
inst-0331,test,3,3.0,opus,Content,Home
inst-0332,train,1,1.0,sol,Utility,Timer & Clock
inst-0333,train,1,2.0,opus,Utility,Map
inst-0334,train,2,3.5,sol,Data,Dashboard
inst-0335,train,2,2.5,opus,Communication,Error
inst-0336,train,3,1.0,sol,User Collections,Downloads & Available Offline
inst-0337,train,2,2.5,sol,Actions,Like & Upvote
inst-0338,train,2,2.5,opus,Actions,Delete
inst-0339,val,2,4.0,sol,Content,News Feed
inst-0340,train,2,2.0,opus,Account Management,Delete & Deactivate Account
inst-0341,train,2,3.5,sol,Social,Invite Teammates
inst-0342,train,2,1.5,opus,Content,Post Detail
inst-0343,train,2,3.0,sol,Utility,Audio & Video Recorder
inst-0344,train,2,1.0,opus,Utility,Audio Player
inst-0348,train,3,2.67,opus,Commerce & Finance,Pricing
inst-0349,val,3,2.0,sol,Commerce & Finance,Payment Method
inst-0350,val,3,2.67,opus,Social,Comments
inst-0354,val,2,2.0,opus,Data,Progress
inst-0355,train,2,1.0,sol,Actions,Draw & Annotate
inst-0356,train,2,2.0,opus,Content,Recipe Detail
inst-0359,train,1,3.0,sol,Communication,Confirmation
inst-0362,train,3,2.67,opus,Actions,Flag & Report
inst-0363,train,2,1.5,opus,New User Experience,Account Setup
inst-0365,test,2,2.5,opus,Commerce & Finance,Promotions & Rewards
inst-0370,test,2,2.5,sol,Actions,Add & Create
inst-0373,train,2,2.0,opus,Content,Song & Podcast Detail
inst-0374,train,2,2.0,sol,Account Management,Login
inst-0376,val,1,4.0,sol,Content,Song & Podcast Detail
inst-0377,test,1,1.0,opus,User Collections,Playlists
inst-0379,train,3,2.67,sol,Communication,Acknowledgement & Success
inst-0381,train,1,4.0,sol,Commerce & Finance,Shop & Storefront
inst-0382,train,1,4.0,opus,Commerce & Finance,Wallet & Balance
inst-0383,train,3,2.33,opus,Content,TV Show & Movie Detail
inst-0385,val,2,2.5,opus,Actions,Save
inst-0386,train,1,3.0,sol,Content,TV Show & Movie Detail
inst-0387,train,1,1.0,sol,Utility,Video Player
inst-0388,test,1,2.0,opus,Communication,Help & Support
inst-0389,train,2,3.0,sol,Account Management,My Account & Profile
inst-0390,val,2,3.0,opus,Utility,Timeline & History
inst-0391,test,1,3.0,sol,Actions,Share
inst-0392,val,1,4.0,opus,New User Experience,Welcome & Get Started
inst-0394,train,3,2.0,opus,Content,Goal & Task
inst-0396,test,2,3.5,opus,Actions,Search
inst-0397,train,2,3.0,opus,Utility,Timer & Clock
inst-0398,train,3,4.0,sol,Utility,Date & Time
inst-0400,train,1,1.0,opus,Actions,Transfer & Send Money
inst-0401,train,3,2.67,sol,Commerce & Finance,Promotions & Rewards
inst-0404,train,3,2.33,opus,User Collections,Bookmarks & Collections
inst-0405,train,2,2.0,sol,Utility,Audio Player
inst-0406,train,2,3.0,opus,Content,Article Detail
inst-0407,test,3,3.0,sol,Communication,About
inst-0408,train,3,2.33,opus,Social,Notifications
inst-0409,train,1,1.0,sol,Actions,Edit
inst-0410,train,1,2.0,opus,Actions,Follow & Subscribe
inst-0411,train,1,4.0,sol,Content,Note Detail
inst-0413,train,2,2.0,sol,Social,Social Feed
inst-0414,train,2,3.0,opus,Account Management,Forgot Password
inst-0415,train,3,3.33,sol,Commerce & Finance,Wallet & Balance
inst-0416,train,2,4.0,sol,Utility,Calendar
inst-0417,train,2,2.5,opus,Utility,Camera & Scanner
inst-0418,train,1,3.0,sol,Actions,Flag & Report
inst-0419,train,1,2.0,opus,Actions,Like & Upvote
inst-0420,train,2,4.0,sol,New User Experience,Verification
inst-0422,train,2,2.5,sol,Content,Home
inst-0423,train,2,2.0,opus,Social,Reviews & Ratings
inst-0424,train,1,2.0,sol,Actions,Invite & Refer Friends
inst-0425,train,1,3.0,opus,Communication,Confirmation
inst-0427,val,1,3.0,opus,New User Experience,Signup
inst-0428,test,1,2.0,sol,Data,Progress
inst-0429,test,1,2.0,opus,Utility,Location & Address
inst-0432,val,1,1.0,opus,Actions,Set
inst-0433,train,3,2.33,sol,Communication,Empty State
inst-0434,val,3,2.0,opus,Commerce & Finance,Billing
inst-0436,train,1,2.0,opus,Utility,Chat Bot
inst-0437,test,2,2.0,sol,Actions,Save
inst-0438,test,2,3.0,opus,Actions,Upload & Download
inst-0439,train,1,2.0,sol,Utility,Location & Address
inst-0443,test,3,2.0,sol,Communication,Suggestions & Similar Items
inst-0444,val,3,2.0,opus,Utility,Video Player
inst-0445,train,1,1.0,sol,Actions,Upload & Download
inst-0446,test,2,2.5,sol,Content,Post Detail
inst-0447,test,2,2.0,opus,Actions,Share
inst-0451,train,1,2.0,sol,Social,Achievements & Awards
inst-0452,train,1,1.0,opus,Actions,Filter & Sort
inst-0453,train,2,3.0,sol,New User Experience,Account Setup
inst-0454,train,3,2.67,sol,Actions,Schedule
inst-0455,train,3,2.33,opus,Utility,Dynamic Island
inst-0457,test,3,2.0,opus,Content,Product Detail
inst-0459,train,3,2.33,opus,Social,Comments
inst-0460,test,2,2.0,sol,Content,Article Detail
inst-0461,train,1,2.0,sol,Actions,Ban & Block
inst-0462,val,1,2.0,opus,Communication,Feature Info
inst-0465,train,2,2.5,sol,Commerce & Finance,Billing
inst-0466,train,2,3.0,opus,Content,Stories
inst-0468,train,1,2.0,opus,Actions,Add & Create
inst-0470,train,1,1.0,opus,Social,Leaderboard
inst-0471,train,2,2.5,sol,Content,Browse & Discover
inst-0472,train,2,2.0,opus,User Collections,Playlists
inst-0474,train,3,2.0,opus,Actions,Draw & Annotate
inst-0476,train,2,2.5,sol,Utility,Live Activities
inst-0477,train,2,2.0,opus,Content,Class & Lesson Detail
inst-0479,val,3,3.33,opus,Utility,Audio Player
inst-0481,train,3,1.67,opus,Commerce & Finance,Cart & Bag
inst-0483,train,2,4.0,opus,New User Experience,Verification
inst-0485,train,3,1.33,opus,Data,Progress
inst-0486,train,2,1.5,sol,Communication,Loading
inst-0487,train,2,2.0,opus,Utility,Calendar
inst-0488,test,2,2.5,sol,Utility,Chat Bot
inst-0489,train,2,2.0,sol,User Collections,Downloads & Available Offline
inst-0491,test,1,3.0,opus,Communication,Acknowledgement & Success
inst-0493,train,2,3.5,sol,Actions,Search
inst-0494,test,2,4.0,opus,Actions,Cancel
inst-0495,val,1,2.0,sol,Utility,Filters & Stickers
inst-0496,test,1,3.0,opus,Commerce & Finance,Order Confirmation
inst-0498,train,3,2.0,sol,Social,User / Group Profile
inst-0500,val,2,2.0,sol,Utility,Call
inst-0501,test,2,2.5,opus,Content,Note Detail
inst-0502,train,2,3.0,sol,Actions,Favorite & Pin
inst-0503,train,2,1.5,opus,Actions,Edit
inst-0504,train,3,1.67,sol,Commerce & Finance,Order History
inst-0505,train,3,1.33,opus,Social,Followers & Following
inst-0506,test,2,2.0,sol,Communication,Privacy Policy
inst-0507,train,2,3.0,opus,Commerce & Finance,Checkout
inst-0508,val,2,2.0,sol,Content,Class & Lesson Detail
inst-0509,train,2,2.0,opus,Utility,Live Activities
inst-0510,train,2,2.5,sol,New User Experience,Guided Tour & Tutorial
inst-0511,train,1,4.0,sol,Actions,Follow & Subscribe
inst-0512,train,1,1.0,opus,Data,Charts
inst-0513,val,2,3.0,sol,Data,Dashboard
inst-0514,test,2,3.0,opus,Actions,Delete
inst-0515,test,2,3.0,sol,Social,Followers & Following
inst-0516,train,2,2.5,opus,New User Experience,Account Setup
inst-0517,test,2,2.5,opus,User Collections,Downloads & Available Offline
inst-0521,train,3,3.0,opus,Communication,Empty State
inst-0523,train,3,4.0,opus,Content,Home
inst-0524,train,2,2.0,sol,Communication,Feedback
inst-0525,train,2,1.5,opus,Actions,Favorite & Pin
inst-0527,train,1,2.0,sol,Actions,Move
inst-0528,test,1,4.0,opus,Social,Invite Teammates
inst-0529,test,1,2.0,sol,Commerce & Finance,Subscription & Paywall
inst-0530,train,1,1.0,opus,Utility,Widgets
inst-0531,train,2,3.0,sol,Social,Invite Teammates
inst-0533,train,3,2.0,opus,Actions,Schedule
inst-0534,test,2,3.0,sol,Communication,Acknowledgement & Success
inst-0536,train,3,2.67,opus,Communication,Error
inst-0537,train,2,2.0,sol,User Collections,Playlists
inst-0538,train,2,3.5,opus,Utility,Call
inst-0539,train,1,3.0,sol,Commerce & Finance,Order Confirmation
inst-0540,train,1,3.0,opus,Actions,Flag & Report
inst-0541,train,2,1.5,sol,Actions,Reorder
inst-0542,train,2,1.5,sol,Content,Product Detail
inst-0543,train,2,2.0,opus,User Collections,Trash & Archive
inst-0545,train,1,3.0,opus,Communication,Suggestions & Similar Items
inst-0547,val,1,2.0,opus,Actions,Filter & Sort
inst-0548,train,2,2.5,sol,Account Management,My Account & Profile
inst-0549,train,2,3.0,opus,New User Experience,Splash Screen
inst-0550,train,1,4.0,sol,Communication,Action Option
inst-0551,val,1,1.0,opus,Utility,Reminder
inst-0553,train,1,2.0,sol,Content,Recipe Detail
inst-0554,train,1,1.0,opus,Actions,Move
inst-0555,train,1,1.0,sol,Utility,Audio & Video Recorder
inst-0556,test,1,3.0,opus,Commerce & Finance,Promotions & Rewards
inst-0558,train,2,2.5,opus,Content,Song & Podcast Detail
inst-0559,train,1,1.0,sol,Commerce & Finance,Payment Method
inst-0560,train,1,3.0,opus,Communication,Loading
inst-0561,train,2,3.0,sol,Content,Song & Podcast Detail
inst-0563,test,1,2.0,sol,Communication,Confirmation
inst-0564,test,1,1.0,opus,Social,Groups & Community
inst-0567,val,1,3.0,opus,Account Management,Delete & Deactivate Account
inst-0568,train,2,2.0,sol,Utility,Video Player
inst-0569,test,2,3.0,opus,Content,TV Show & Movie Detail
inst-0571,train,3,3.67,opus,Utility,Filters & Stickers
inst-0572,test,1,4.0,sol,Actions,Share
inst-0573,train,1,3.0,opus,Commerce & Finance,Order History
inst-0574,train,1,2.0,sol,Content,TV Show & Movie Detail
inst-0575,train,1,1.0,opus,Actions,Save
inst-0576,test,2,3.5,sol,User Collections,Trash & Archive
inst-0577,train,3,2.67,opus,Utility,Audio & Video Recorder
inst-0578,train,1,1.0,sol,Data,Charts
inst-0579,test,1,1.0,opus,Communication,Feature Info
inst-0580,train,3,1.0,opus,Social,User / Group Profile
inst-0582,train,3,2.0,opus,Actions,Select
inst-0583,val,1,2.0,sol,Actions,Add & Create
inst-0584,train,2,3.5,sol,Account Management,Login
inst-0586,val,3,2.33,opus,Utility,Chat Bot
inst-0587,train,1,1.0,sol,Social,Chat Detail
inst-0588,test,1,3.0,opus,Actions,Follow & Subscribe
inst-0589,test,3,3.67,sol,Commerce & Finance,Promotions & Rewards
inst-0590,train,3,1.67,sol,Content,Emails & Messages
inst-0591,test,3,3.0,sol,Actions,Invite & Refer Friends
inst-0592,train,3,2.67,opus,Social,Achievements & Awards
inst-0594,train,1,2.0,opus,Utility,Timeline & History
inst-0595,test,1,2.0,sol,Communication,Terms & Conditions
inst-0596,val,1,2.0,opus,Actions,Search
inst-0598,test,2,3.5,sol,Communication,Empty State
inst-0601,train,1,3.0,opus,Data,Dashboard
inst-0602,val,1,1.0,sol,Actions,Delete
inst-0603,train,1,1.0,opus,New User Experience,Guided Tour & Tutorial
inst-0604,train,1,2.0,sol,Social,Social Feed
inst-0605,train,1,1.0,opus,Content,Browse & Discover
inst-0606,test,3,2.67,sol,Commerce & Finance,Wallet & Balance
inst-0608,train,3,3.0,sol,New User Experience,Account Setup
inst-0609,train,3,3.0,opus,Utility,Location & Address
inst-0610,train,1,4.0,sol,Data,Progress
inst-0611,train,1,2.0,opus,Account Management,My Account & Profile
inst-0612,test,1,4.0,sol,Content,Note Detail
inst-0613,test,1,4.0,opus,Actions,Set
inst-0615,train,2,1.5,opus,Social,Notifications
inst-0616,train,2,1.5,sol,Utility,Calendar
inst-0617,test,2,2.0,opus,Content,Event Detail
inst-0619,train,3,3.0,sol,Commerce & Finance,Checkout
inst-0620,val,3,3.67,opus,Communication,Acknowledgement & Success
inst-0621,train,2,2.0,opus,Actions,Share
inst-0623,train,3,3.0,opus,User Collections,Bookmarks & Collections
inst-0625,val,1,1.0,opus,Utility,Browser
inst-0626,train,3,1.67,sol,Account Management,Settings & Preferences
inst-0627,test,3,1.33,opus,Social,Reviews & Ratings
inst-0628,test,1,2.0,sol,Actions,Save
inst-0629,test,3,1.0,opus,Communication,Confirmation
inst-0630,val,1,2.0,sol,Commerce & Finance,Pricing
inst-0631,test,1,4.0,opus,Actions,Transfer & Send Money
inst-0632,train,3,2.67,sol,New User Experience,Verification
inst-0633,train,3,2.33,opus,Utility,Video Player
inst-0634,train,3,1.67,sol,Social,Groups & Community
inst-0635,train,3,3.0,sol,Communication,Loading
inst-0636,test,3,3.0,opus,Actions,Upload & Download
inst-0637,train,1,3.0,sol,Content,Quiz
inst-0638,train,1,1.0,opus,Social,Leaderboard
inst-0640,train,2,3.0,opus,Content,Product Detail
inst-0641,test,3,1.67,sol,Actions,Filter & Sort
inst-0642,test,3,2.33,opus,Communication,Feedback
inst-0645,train,3,1.67,opus,Account Management,Forgot Password
inst-0646,train,1,1.0,sol,Social,Leaderboard
inst-0649,train,2,2.0,opus,Data,Progress
inst-0650,train,1,4.0,sol,Commerce & Finance,Billing
inst-0651,test,1,2.0,opus,Content,Goal & Task
inst-0653,test,1,4.0,opus,Utility,Calendar
inst-0654,train,2,2.0,sol,Actions,Ban & Block
inst-0655,test,2,4.0,opus,Actions,Invite & Refer Friends
inst-0657,train,1,1.0,sol,Account Management,Delete & Deactivate Account
inst-0658,test,1,3.0,opus,User Collections,Playlists
