set_id,revision,model,viewport_w,viewport_h,interactive,device
inst-0044,A,openai/gpt-5.6-sol,390,560,0,
inst-0044,B,openai/gpt-5.6-sol,390,560,0,
inst-0045,A,openai/gpt-5.6-sol,390,844,0,
inst-0045,B,openai/gpt-5.6-sol,390,844,0,
inst-0046,A,openai/gpt-5.6-sol,390,844,0,
inst-0046,B,openai/gpt-5.6-sol,390,844,0,
inst-0047,A,anthropic/claude-opus-5,390,844,0,
inst-0047,B,anthropic/claude-opus-5,390,844,0,
inst-0048,A,anthropic/claude-opus-5,390,844,0,
inst-0048,B,anthropic/claude-opus-5,390,844,0,
inst-0049,A,openai/gpt-5.6-sol,390,844,0,
inst-0049,B,openai/gpt-5.6-sol,390,844,0,
inst-0050,A,anthropic/claude-opus-5,390,560,0,
inst-0050,B,anthropic/claude-opus-5,390,560,0,
inst-0051,A,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0051,B,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0052,A,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0052,B,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0053,A,openai/gpt-5.6-sol,390,560,0,
inst-0053,B,openai/gpt-5.6-sol,390,560,0,
inst-0054,A,anthropic/claude-opus-5,390,844,0,
inst-0054,B,anthropic/claude-opus-5,390,844,0,
inst-0055,A,anthropic/claude-opus-5,390,844,0,
inst-0055,B,anthropic/claude-opus-5,390,844,0,
inst-0056,A,openai/gpt-5.6-sol,390,844,0,
inst-0056,B,openai/gpt-5.6-sol,390,844,0,
inst-0057,A,anthropic/claude-opus-5,390,560,0,
inst-0057,B,anthropic/claude-opus-5,390,560,0,
inst-0058,A,anthropic/claude-opus-5,390,844,0,
inst-0058,B,anthropic/claude-opus-5,390,844,0,
inst-0059,A,anthropic/claude-opus-5,184,224,0,watch
inst-0059,B,anthropic/claude-opus-5,184,224,0,watch
inst-0060,A,openai/gpt-5.6-sol,390,844,0,
inst-0060,B,openai/gpt-5.6-sol,390,844,0,
inst-0061,A,openai/gpt-5.6-sol,390,560,0,
inst-0061,B,openai/gpt-5.6-sol,390,560,0,
inst-0062,A,openai/gpt-5.6-sol,390,844,0,
inst-0062,B,openai/gpt-5.6-sol,390,844,0,
inst-0063,A,anthropic/claude-opus-5,390,844,0,
inst-0063,B,anthropic/claude-opus-5,390,844,0,
inst-0064,A,openai/gpt-5.6-sol,390,844,0,
inst-0064,B,openai/gpt-5.6-sol,390,844,0,
inst-0065,A,anthropic/claude-opus-5,390,560,0,
inst-0065,B,anthropic/claude-opus-5,390,560,0,
inst-0066,A,openai/gpt-5.6-sol,768,1024,0,tablet
inst-0066,B,openai/gpt-5.6-sol,768,1024,0,tablet
inst-0067,A,openai/gpt-5.6-sol,390,844,0,
inst-0067,B,openai/gpt-5.6-sol,390,844,0,
inst-0068,A,anthropic/claude-opus-5,390,560,0,
inst-0068,B,anthropic/claude-opus-5,390,560,0,
inst-0069,A,openai/gpt-5.6-sol,390,560,0,
inst-0069,B,openai/gpt-5.6-sol,390,560,0,
inst-0070,A,openai/gpt-5.6-sol,390,844,0,
inst-0070,B,openai/gpt-5.6-sol,390,844,0,
inst-0071,A,openai/gpt-5.6-sol,390,844,0,
inst-0071,B,openai/gpt-5.6-sol,390,844,0,
inst-0072,A,openai/gpt-5.6-sol,390,844,0,
inst-0072,B,openai/gpt-5.6-sol,390,844,0,
inst-0073,A,openai/gpt-5.6-sol,390,844,0,
inst-0073,B,openai/gpt-5.6-sol,390,844,0,
inst-0074,A,anthropic/claude-opus-5,390,560,0,
inst-0074,B,anthropic/claude-opus-5,390,560,0,
inst-0075,A,openai/gpt-5.6-sol,390,560,0,
inst-0075,B,openai/gpt-5.6-sol,390,560,0,
inst-0076,A,anthropic/claude-opus-5,390,560,0,
inst-0076,B,anthropic/claude-opus-5,390,560,0,
inst-0077,A,openai/gpt-5.6-sol,390,844,0,
inst-0077,B,openai/gpt-5.6-sol,390,844,0,
inst-0078,A,openai/gpt-5.6-sol,768,1024,0,tablet
inst-0078,B,openai/gpt-5.6-sol,768,1024,0,tablet
inst-0079,A,anthropic/claude-opus-5,390,844,0,
inst-0079,B,anthropic/claude-opus-5,390,844,0,
inst-0080,A,openai/gpt-5.6-sol,390,560,0,
inst-0080,B,openai/gpt-5.6-sol,390,560,0,
inst-0081,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0081,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0082,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0082,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0083,A,anthropic/claude-opus-5,390,844,0,
inst-0083,B,anthropic/claude-opus-5,390,844,0,
inst-0084,A,anthropic/claude-opus-5,390,844,0,
inst-0084,B,anthropic/claude-opus-5,390,844,0,
inst-0085,A,anthropic/claude-opus-5,390,844,0,
inst-0085,B,anthropic/claude-opus-5,390,844,0,
inst-0086,A,openai/gpt-5.6-sol,390,560,0,
inst-0086,B,openai/gpt-5.6-sol,390,560,0,
inst-0087,A,anthropic/claude-opus-5,390,844,0,
inst-0087,B,anthropic/claude-opus-5,390,844,0,
inst-0088,A,anthropic/claude-opus-5,390,844,0,
inst-0088,B,anthropic/claude-opus-5,390,844,0,
inst-0089,A,anthropic/claude-opus-5,390,844,0,
inst-0089,B,anthropic/claude-opus-5,390,844,0,
inst-0090,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0090,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0091,A,anthropic/claude-opus-5,390,560,0,
inst-0091,B,anthropic/claude-opus-5,390,560,0,
inst-0092,A,anthropic/claude-opus-5,390,560,0,
inst-0092,B,anthropic/claude-opus-5,390,560,0,
inst-0093,A,openai/gpt-5.6-sol,390,560,0,
inst-0093,B,openai/gpt-5.6-sol,390,560,0,
inst-0094,A,openai/gpt-5.6-sol,390,844,0,
inst-0094,B,openai/gpt-5.6-sol,390,844,0,
inst-0095,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0095,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0096,A,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0096,B,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0097,A,openai/gpt-5.6-sol,390,560,0,
inst-0097,B,openai/gpt-5.6-sol,390,560,0,
inst-0098,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0098,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0099,A,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0099,B,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0100,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0100,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0101,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0101,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0102,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0102,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0103,A,anthropic/claude-opus-5,390,560,0,
inst-0103,B,anthropic/claude-opus-5,390,560,0,
inst-0104,A,openai/gpt-5.6-sol,768,1024,0,tablet
inst-0104,B,openai/gpt-5.6-sol,768,1024,0,tablet
inst-0105,A,openai/gpt-5.6-sol,390,844,0,
inst-0105,B,openai/gpt-5.6-sol,390,844,0,
inst-0106,A,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0106,B,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0107,A,anthropic/claude-opus-5,390,560,0,
inst-0107,B,anthropic/claude-opus-5,390,560,0,
inst-0108,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0108,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0109,A,openai/gpt-5.6-sol,768,1024,0,tablet
inst-0109,B,openai/gpt-5.6-sol,768,1024,0,tablet
inst-0110,A,anthropic/claude-opus-5,390,844,0,
inst-0110,B,anthropic/claude-opus-5,390,844,0,
inst-0111,A,openai/gpt-5.6-sol,390,844,0,
inst-0111,B,openai/gpt-5.6-sol,390,844,0,
inst-0112,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0112,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0113,A,anthropic/claude-opus-5,390,560,0,
inst-0113,B,anthropic/claude-opus-5,390,560,0,
inst-0114,A,openai/gpt-5.6-sol,390,560,0,
inst-0114,B,openai/gpt-5.6-sol,390,560,0,
inst-0115,A,anthropic/claude-opus-5,390,844,0,
inst-0115,B,anthropic/claude-opus-5,390,844,0,
inst-0116,A,anthropic/claude-opus-5,390,560,0,
inst-0116,B,anthropic/claude-opus-5,390,560,0,
inst-0117,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0117,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0118,A,anthropic/claude-opus-5,390,844,0,
inst-0118,B,anthropic/claude-opus-5,390,844,0,
inst-0119,A,openai/gpt-5.6-sol,390,844,0,
inst-0119,B,openai/gpt-5.6-sol,390,844,0,
inst-0120,A,openai/gpt-5.6-sol,390,560,0,
inst-0120,B,openai/gpt-5.6-sol,390,560,0,
inst-0121,A,openai/gpt-5.6-sol,768,1024,0,tablet
inst-0121,B,openai/gpt-5.6-sol,768,1024,0,tablet
inst-0122,A,openai/gpt-5.6-sol,184,224,0,watch
inst-0122,B,openai/gpt-5.6-sol,184,224,0,watch
inst-0123,A,openai/gpt-5.6-sol,768,1024,0,tablet
inst-0123,B,openai/gpt-5.6-sol,768,1024,0,tablet
inst-0124,A,openai/gpt-5.6-sol,768,1024,0,tablet
inst-0124,B,openai/gpt-5.6-sol,768,1024,0,tablet
inst-0125,A,anthropic/claude-opus-5,390,844,0,
inst-0125,B,anthropic/claude-opus-5,390,844,0,
inst-0126,A,anthropic/claude-opus-5,390,844,0,
inst-0126,B,anthropic/claude-opus-5,390,844,0,
inst-0127,A,openai/gpt-5.6-sol,390,844,0,
inst-0127,B,openai/gpt-5.6-sol,390,844,0,
inst-0128,A,anthropic/claude-opus-5,390,844,0,
inst-0128,B,anthropic/claude-opus-5,390,844,0,
inst-0129,A,openai/gpt-5.6-sol,390,560,0,
inst-0129,B,openai/gpt-5.6-sol,390,560,0,
inst-0130,A,openai/gpt-5.6-sol,184,224,0,watch
inst-0130,B,openai/gpt-5.6-sol,184,224,0,watch
inst-0131,A,openai/gpt-5.6-sol,390,844,0,
inst-0131,B,openai/gpt-5.6-sol,390,844,0,
inst-0132,A,openai/gpt-5.6-sol,390,844,0,
inst-0132,B,openai/gpt-5.6-sol,390,844,0,
inst-0133,A,openai/gpt-5.6-sol,390,844,0,
inst-0133,B,openai/gpt-5.6-sol,390,844,0,
inst-0134,A,anthropic/claude-opus-5,390,844,0,
inst-0134,B,anthropic/claude-opus-5,390,844,0,
inst-0135,A,openai/gpt-5.6-sol,390,560,0,
inst-0135,B,openai/gpt-5.6-sol,390,560,0,
inst-0136,A,openai/gpt-5.6-sol,390,844,0,
inst-0136,B,openai/gpt-5.6-sol,390,844,0,
inst-0137,A,anthropic/claude-opus-5,390,560,0,
inst-0137,B,anthropic/claude-opus-5,390,560,0,
inst-0138,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0138,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0139,A,anthropic/claude-opus-5,390,560,0,
inst-0139,B,anthropic/claude-opus-5,390,560,0,
inst-0140,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0140,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0141,A,openai/gpt-5.6-sol,390,560,0,
inst-0141,B,openai/gpt-5.6-sol,390,560,0,
inst-0142,A,openai/gpt-5.6-sol,390,560,0,
inst-0142,B,openai/gpt-5.6-sol,390,560,0,
inst-0143,A,openai/gpt-5.6-sol,390,560,0,
inst-0143,B,openai/gpt-5.6-sol,390,560,0,
inst-0144,A,anthropic/claude-opus-5,390,560,0,
inst-0144,B,anthropic/claude-opus-5,390,560,0,
inst-0145,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0145,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0146,A,openai/gpt-5.6-sol,390,844,0,
inst-0146,B,openai/gpt-5.6-sol,390,844,0,
inst-0147,A,openai/gpt-5.6-sol,390,844,0,
inst-0147,B,openai/gpt-5.6-sol,390,844,0,
inst-0148,A,openai/gpt-5.6-sol,390,844,0,
inst-0148,B,openai/gpt-5.6-sol,390,844,0,
inst-0149,A,anthropic/claude-opus-5,390,844,0,
inst-0149,B,anthropic/claude-opus-5,390,844,0,
inst-0150,A,anthropic/claude-opus-5,390,560,0,
inst-0150,B,anthropic/claude-opus-5,390,560,0,
inst-0151,A,anthropic/claude-opus-5,390,560,0,
inst-0151,B,anthropic/claude-opus-5,390,560,0,
inst-0152,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0152,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0153,A,anthropic/claude-opus-5,390,844,0,
inst-0153,B,anthropic/claude-opus-5,390,844,0,
inst-0154,A,openai/gpt-5.6-sol,390,844,0,
inst-0154,B,openai/gpt-5.6-sol,390,844,0,
inst-0155,A,openai/gpt-5.6-sol,390,844,0,
inst-0155,B,openai/gpt-5.6-sol,390,844,0,
inst-0156,A,anthropic/claude-opus-5,390,560,0,
inst-0156,B,anthropic/claude-opus-5,390,560,0,
inst-0157,A,anthropic/claude-opus-5,390,844,0,
inst-0157,B,anthropic/claude-opus-5,390,844,0,
inst-0158,A,anthropic/claude-opus-5,390,844,0,
inst-0158,B,anthropic/claude-opus-5,390,844,0,
inst-0159,A,openai/gpt-5.6-sol,390,844,0,
inst-0159,B,openai/gpt-5.6-sol,390,844,0,
inst-0160,A,anthropic/claude-opus-5,390,844,0,
inst-0160,B,anthropic/claude-opus-5,390,844,0,
inst-0161,A,openai/gpt-5.6-sol,390,844,0,
inst-0161,B,openai/gpt-5.6-sol,390,844,0,
inst-0162,A,anthropic/claude-opus-5,390,560,0,
inst-0162,B,anthropic/claude-opus-5,390,560,0,
inst-0163,A,openai/gpt-5.6-sol,390,560,0,
inst-0163,B,openai/gpt-5.6-sol,390,560,0,
inst-0164,A,openai/gpt-5.6-sol,390,844,0,
inst-0164,B,openai/gpt-5.6-sol,390,844,0,
inst-0165,A,openai/gpt-5.6-sol,768,1024,0,tablet
inst-0165,B,openai/gpt-5.6-sol,768,1024,0,tablet
inst-0166,A,anthropic/claude-opus-5,768,1024,0,tablet
inst-0166,B,anthropic/claude-opus-5,768,1024,0,tablet
inst-0167,A,anthropic/claude-opus-5,390,560,0,
inst-0167,B,anthropic/claude-opus-5,390,560,0,
inst-0168,A,openai/gpt-5.6-sol,390,844,0,
inst-0168,B,openai/gpt-5.6-sol,390,844,0,
inst-0169,A,openai/gpt-5.6-sol,184,224,0,watch
inst-0169,B,openai/gpt-5.6-sol,184,224,0,watch
inst-0170,A,openai/gpt-5.6-sol,390,560,0,
inst-0170,B,openai/gpt-5.6-sol,390,560,0,
inst-0171,A,anthropic/claude-opus-5,390,560,0,
inst-0171,B,anthropic/claude-opus-5,390,560,0,
inst-0172,A,openai/gpt-5.6-sol,390,844,0,
inst-0172,B,openai/gpt-5.6-sol,390,844,0,
inst-0173,A,openai/gpt-5.6-sol,390,844,0,
inst-0173,B,openai/gpt-5.6-sol,390,844,0,
inst-0174,A,anthropic/claude-opus-5,390,844,0,
inst-0174,B,anthropic/claude-opus-5,390,844,0,
inst-0175,A,openai/gpt-5.6-sol,390,560,0,
inst-0175,B,openai/gpt-5.6-sol,390,560,0,
inst-0176,A,openai/gpt-5.6-sol,390,844,0,
inst-0176,B,openai/gpt-5.6-sol,390,844,0,
inst-0177,A,openai/gpt-5.6-sol,390,844,0,
inst-0177,B,openai/gpt-5.6-sol,390,844,0,
inst-0178,A,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0178,B,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0179,A,openai/gpt-5.6-sol,390,560,0,
inst-0179,B,openai/gpt-5.6-sol,390,560,0,
inst-0180,A,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0180,B,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0181,A,anthropic/claude-opus-5,390,844,0,
inst-0181,B,anthropic/claude-opus-5,390,844,0,
inst-0182,A,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0182,B,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0183,A,anthropic/claude-opus-5,390,844,0,
inst-0183,B,anthropic/claude-opus-5,390,844,0,
inst-0184,A,anthropic/claude-opus-5,390,844,0,
inst-0184,B,anthropic/claude-opus-5,390,844,0,
inst-0185,A,openai/gpt-5.6-sol,390,844,0,
inst-0185,B,openai/gpt-5.6-sol,390,844,0,
inst-0186,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0186,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0187,A,openai/gpt-5.6-sol,390,560,0,
inst-0187,B,openai/gpt-5.6-sol,390,560,0,
inst-0188,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0188,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0189,A,anthropic/claude-opus-5,768,1024,0,tablet
inst-0189,B,anthropic/claude-opus-5,768,1024,0,tablet
inst-0190,A,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0190,B,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0191,A,openai/gpt-5.6-sol,390,844,0,
inst-0191,B,openai/gpt-5.6-sol,390,844,0,
inst-0192,A,anthropic/claude-opus-5,390,560,0,
inst-0192,B,anthropic/claude-opus-5,390,560,0,
inst-0193,A,anthropic/claude-opus-5,390,844,0,
inst-0193,B,anthropic/claude-opus-5,390,844,0,
inst-0194,A,openai/gpt-5.6-sol,390,844,0,
inst-0194,B,openai/gpt-5.6-sol,390,844,0,
inst-0195,A,openai/gpt-5.6-sol,390,560,0,
inst-0195,B,openai/gpt-5.6-sol,390,560,0,
inst-0196,A,anthropic/claude-opus-5,390,560,0,
inst-0196,B,anthropic/claude-opus-5,390,560,0,
inst-0197,A,openai/gpt-5.6-sol,390,844,0,
inst-0197,B,openai/gpt-5.6-sol,390,844,0,
inst-0198,A,openai/gpt-5.6-sol,390,560,0,
inst-0198,B,openai/gpt-5.6-sol,390,560,0,
inst-0199,A,anthropic/claude-opus-5,390,560,0,
inst-0199,B,anthropic/claude-opus-5,390,560,0,
inst-0200,A,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0200,B,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0201,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0201,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0202,A,openai/gpt-5.6-sol,768,1024,0,tablet
inst-0202,B,openai/gpt-5.6-sol,768,1024,0,tablet
inst-0203,A,openai/gpt-5.6-sol,390,844,0,
inst-0203,B,openai/gpt-5.6-sol,390,844,0,
inst-0204,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0204,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0205,A,anthropic/claude-opus-5,768,1024,0,tablet
inst-0205,B,anthropic/claude-opus-5,768,1024,0,tablet
inst-0206,A,anthropic/claude-opus-5,390,844,0,
inst-0206,B,anthropic/claude-opus-5,390,844,0,
inst-0207,A,anthropic/claude-opus-5,768,1024,0,tablet
inst-0207,B,anthropic/claude-opus-5,768,1024,0,tablet
inst-0208,A,anthropic/claude-opus-5,390,844,0,
inst-0208,B,anthropic/claude-opus-5,390,844,0,
inst-0209,A,openai/gpt-5.6-sol,390,560,0,
inst-0209,B,openai/gpt-5.6-sol,390,560,0,
inst-0210,A,anthropic/claude-opus-5,390,844,0,
inst-0210,B,anthropic/claude-opus-5,390,844,0,
inst-0211,A,openai/gpt-5.6-sol,390,844,0,
inst-0211,B,openai/gpt-5.6-sol,390,844,0,
inst-0212,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0212,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0213,A,openai/gpt-5.6-sol,390,560,0,
inst-0213,B,openai/gpt-5.6-sol,390,560,0,
inst-0214,A,anthropic/claude-opus-5,390,844,0,
inst-0214,B,anthropic/claude-opus-5,390,844,0,
inst-0215,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0215,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0216,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0216,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0217,A,openai/gpt-5.6-sol,390,844,0,
inst-0217,B,openai/gpt-5.6-sol,390,844,0,
inst-0218,A,openai/gpt-5.6-sol,390,844,0,
inst-0218,B,openai/gpt-5.6-sol,390,844,0,
inst-0219,A,openai/gpt-5.6-sol,390,560,0,
inst-0219,B,openai/gpt-5.6-sol,390,560,0,
inst-0220,A,anthropic/claude-opus-5,390,560,0,
inst-0220,B,anthropic/claude-opus-5,390,560,0,
inst-0221,A,openai/gpt-5.6-sol,390,844,0,
inst-0221,B,openai/gpt-5.6-sol,390,844,0,
inst-0222,A,anthropic/claude-opus-5,390,560,0,
inst-0222,B,anthropic/claude-opus-5,390,560,0,
inst-0223,A,anthropic/claude-opus-5,390,560,0,
inst-0223,B,anthropic/claude-opus-5,390,560,0,
inst-0224,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0224,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0225,A,anthropic/claude-opus-5,390,844,0,
inst-0225,B,anthropic/claude-opus-5,390,844,0,
inst-0226,A,openai/gpt-5.6-sol,390,844,0,
inst-0226,B,openai/gpt-5.6-sol,390,844,0,
inst-0227,A,openai/gpt-5.6-sol,390,560,0,
inst-0227,B,openai/gpt-5.6-sol,390,560,0,
inst-0228,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0228,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0229,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0229,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0230,A,openai/gpt-5.6-sol,390,844,0,
inst-0230,B,openai/gpt-5.6-sol,390,844,0,
inst-0231,A,anthropic/claude-opus-5,390,844,0,
inst-0231,B,anthropic/claude-opus-5,390,844,0,
inst-0232,A,anthropic/claude-opus-5,390,560,0,
inst-0232,B,anthropic/claude-opus-5,390,560,0,
inst-0233,A,openai/gpt-5.6-sol,390,844,0,
inst-0233,B,openai/gpt-5.6-sol,390,844,0,
inst-0234,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0234,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0235,A,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0235,B,openai/gpt-5.6-sol,1024,768,0,desktop
